"id";"idversion_init";"idversion_end";"file";"begin_line";"end_line";"rule";"ruleset";"package";"class";"function";"priority";"violation";"violation_nonumbers";"version_init";"version_end";"date_init";"date_end";"diff";"censored"
"3";"1";"3";"controllers\board.php";"85";"85";"UnusedLocalVariable";"Unused Code Rules";;;;"3";"Avoid unused local variables such as '$column_title'.";"Avoid unused local variables such as '$column_title'.";"1.0.0";"1.0.2";"2014-02-17";"2014-02-28";"11";"1"
"15";"1";"2";"controllers\task.php";"154";"154";"UnusedLocalVariable";"Unused Code Rules";;;;"3";"Avoid unused local variables such as '$task'.";"Avoid unused local variables such as '$task'.";"1.0.0";"1.0.1";"2014-02-17";"2014-02-22";"5";"1"
"18";"1";"6";"controllers\user.php";"5";"198";"TooManyPublicMethods";"Code Size Rules";"Controller";"User";;"3";"The class User has 11 public methods. Consider refactoring User to keep number of public methods under 10.";"The class User has  public methods. Consider refactoring User to keep number of public methods under .";"1.0.0";"1.0.5";"2014-02-17";"2014-05-27";"99";"1"
"25";"1";"4";"lib\response.php";"3";"135";"TooManyPublicMethods";"Code Size Rules";"+global";"Response";;"3";"The class Response has 14 public methods. Consider refactoring Response to keep number of public methods under 10.";"The class Response has  public methods. Consider refactoring Response to keep number of public methods under .";"1.0.0";"1.0.3";"2014-02-17";"2014-03-15";"26";"1"
"36";"1";"4";"lib\router.php";"8";"8";"UnusedFormalParameter";"Unused Code Rules";;;;"3";"Avoid unused parameters such as '$action'.";"Avoid unused parameters such as '$action'.";"1.0.0";"1.0.3";"2014-02-17";"2014-03-15";"26";"1"
"47";"1";"6";"models\board.php";"142";"142";"UnusedLocalVariable";"Unused Code Rules";;;;"3";"Avoid unused local variables such as '$column_title'.";"Avoid unused local variables such as '$column_title'.";"1.0.0";"1.0.5";"2014-02-17";"2014-05-27";"99";"1"
"49";"1";"2";"models\board.php";"158";"158";"UnusedLocalVariable";"Unused Code Rules";;;;"3";"Avoid unused local variables such as '$rules'.";"Avoid unused local variables such as '$rules'.";"1.0.0";"1.0.1";"2014-02-17";"2014-02-22";"5";"1"
"62";"3";"6";"controllers\board.php";"5";"259";"TooManyPublicMethods";"Code Size Rules";"Controller";"Board";;"3";"The class Board has 11 public methods. Consider refactoring Board to keep number of public methods under 10.";"The class Board has  public methods. Consider refactoring Board to keep number of public methods under .";"1.0.2";"1.0.5";"2014-02-28";"2014-05-27";"88";"1"
"67";"3";"6";"models\task.php";"8";"233";"TooManyPublicMethods";"Code Size Rules";"Model";"Task";;"3";"The class Task has 11 public methods. Consider refactoring Task to keep number of public methods under 10.";"The class Task has  public methods. Consider refactoring Task to keep number of public methods under .";"1.0.2";"1.0.5";"2014-02-28";"2014-05-27";"88";"1"
"68";"4";"6";"controllers\action.php";"94";"94";"UnusedLocalVariable";"Unused Code Rules";;;;"3";"Avoid unused local variables such as '$errors'.";"Avoid unused local variables such as '$errors'.";"1.0.3";"1.0.5";"2014-03-15";"2014-05-27";"73";"1"
"71";"4";"6";"controllers\project.php";"7";"254";"TooManyPublicMethods";"Code Size Rules";"Controller";"Project";;"3";"The class Project has 14 public methods. Consider refactoring Project to keep number of public methods under 10.";"The class Project has  public methods. Consider refactoring Project to keep number of public methods under .";"1.0.3";"1.0.5";"2014-03-15";"2014-05-27";"73";"1"
"74";"4";"6";"controllers\task.php";"7";"329";"TooManyPublicMethods";"Code Size Rules";"Controller";"Task";;"3";"The class Task has 12 public methods. Consider refactoring Task to keep number of public methods under 10.";"The class Task has  public methods. Consider refactoring Task to keep number of public methods under .";"1.0.3";"1.0.5";"2014-03-15";"2014-05-27";"73";"1"
"81";"4";"6";"core\response.php";"5";"139";"TooManyPublicMethods";"Code Size Rules";"Core";"Response";;"3";"The class Response has 14 public methods. Consider refactoring Response to keep number of public methods under 10.";"The class Response has  public methods. Consider refactoring Response to keep number of public methods under .";"1.0.3";"1.0.5";"2014-03-15";"2014-05-27";"73";"1"
"92";"4";"6";"core\router.php";"16";"16";"UnusedFormalParameter";"Unused Code Rules";;;;"3";"Avoid unused parameters such as '$action'.";"Avoid unused parameters such as '$action'.";"1.0.3";"1.0.5";"2014-03-15";"2014-05-27";"73";"1"
"102";"4";"6";"models\project.php";"13";"317";"TooManyPublicMethods";"Code Size Rules";"Model";"Project";;"3";"The class Project has 13 public methods. Consider refactoring Project to keep number of public methods under 10.";"The class Project has  public methods. Consider refactoring Project to keep number of public methods under .";"1.0.3";"1.0.5";"2014-03-15";"2014-05-27";"73";"1"
"107";"4";"6";"models\project.php";"212";"212";"UnusedLocalVariable";"Unused Code Rules";;;;"3";"Avoid unused local variables such as '$project_name'.";"Avoid unused local variables such as '$project_name'.";"1.0.3";"1.0.5";"2014-03-15";"2014-05-27";"73";"1"
"108";"4";"6";"models\task.php";"207";"242";"CyclomaticComplexity";"Code Size Rules";"Model";"Task";;"3";"The method update() has a Cyclomatic Complexity of 11. The configured cyclomatic complexity threshold is 10.";"The method update() has a Cyclomatic Complexity of . The configured cyclomatic complexity threshold is .";"1.0.3";"1.0.5";"2014-03-15";"2014-05-27";"73";"1"
"110";"5";"6";"controllers\base.php";"11";"304";"TooManyFields";"Code Size Rules";"Controller";"Base";;"3";"The class Base has 16 fields. Consider redesigning Base to keep the number of fields under 15.";"The class Base has  fields. Consider redesigning Base to keep the number of fields under .";"1.0.4";"1.0.5";"2014-05-04";"2014-05-27";"23";"1"
"111";"5";"6";"controllers\base.php";"11";"304";"CouplingBetweenObjects";"Design Rules";"Controller";"Base";;"2";"The class Base has a coupling between objects value of 17. Consider to reduce the number of dependencies under 13.";"The class Base has a coupling between objects value of . Consider to reduce the number of dependencies under .";"1.0.4";"1.0.5";"2014-05-04";"2014-05-27";"23";"1"
"128";"5";"6";"models\remember_me.php";"13";"335";"TooManyPublicMethods";"Code Size Rules";"Model";"RememberMe";;"3";"The class RememberMe has 14 public methods. Consider refactoring RememberMe to keep number of public methods under 10.";"The class RememberMe has  public methods. Consider refactoring RememberMe to keep number of public methods under .";"1.0.4";"1.0.5";"2014-05-04";"2014-05-27";"23";"1"
"130";"5";"6";"models\task.php";"17";"619";"ExcessiveClassComplexity";"Code Size Rules";"Model";"Task";;"3";"The class Task has an overall complexity of 52 which is very high. The configured complexity threshold is 50.";"The class Task has an overall complexity of  which is very high. The configured complexity threshold is .";"1.0.4";"1.0.5";"2014-05-04";"2014-05-27";"23";"1"
"132";"5";"6";"models\task.php";"214";"214";"UnusedLocalVariable";"Unused Code Rules";;;;"3";"Avoid unused local variables such as '$boardModel'.";"Avoid unused local variables such as '$boardModel'.";"1.0.4";"1.0.5";"2014-05-04";"2014-05-27";"23";"1"
"134";"5";"6";"models\user.php";"16";"428";"CouplingBetweenObjects";"Design Rules";"Model";"User";;"2";"The class User has a coupling between objects value of 13. Consider to reduce the number of dependencies under 13.";"The class User has a coupling between objects value of . Consider to reduce the number of dependencies under .";"1.0.4";"1.0.5";"2014-05-04";"2014-05-27";"23";"1"
"138";"5";"6";"schemas\mysql.php";"49";"49";"UnusedFormalParameter";"Unused Code Rules";;;;"3";"Avoid unused parameters such as '$pdo'.";"Avoid unused parameters such as '$pdo'.";"1.0.4";"1.0.5";"2014-05-04";"2014-05-27";"23";"1"
"139";"5";"6";"schemas\mysql.php";"89";"213";"ExcessiveMethodLength";"Code Size Rules";"Schema";;"version_1";"3";"The function version_1() has 125 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function version_() has  lines of code. Current threshold is set to . Avoid really long methods.";"1.0.4";"1.0.5";"2014-05-04";"2014-05-27";"23";"1"
"148";"6";"21";"app\Controller\Board.php";"14";"413";"TooManyPublicMethods";"Code Size Rules";"Controller";"Board";;"3";"The class Board has 14 public methods. Consider refactoring Board to keep number of public methods under 10.";"The class Board has  public methods. Consider refactoring Board to keep number of public methods under .";"1.0.5";"1.0.20";"2014-05-27";"2015-10-24";"515";"1"
"165";"6";"21";"app\Controller\Project.php";"13";"375";"TooManyPublicMethods";"Code Size Rules";"Controller";"Project";;"3";"The class Project has 15 public methods. Consider refactoring Project to keep number of public methods under 10.";"The class Project has  public methods. Consider refactoring Project to keep number of public methods under .";"1.0.5";"1.0.20";"2014-05-27";"2015-10-24";"515";"1"
"176";"6";"18";"app\Controller\Task.php";"13";"398";"TooManyPublicMethods";"Code Size Rules";"Controller";"Task";;"3";"The class Task has 15 public methods. Consider refactoring Task to keep number of public methods under 10.";"The class Task has  public methods. Consider refactoring Task to keep number of public methods under .";"1.0.5";"1.0.17";"2014-05-27";"2015-07-26";"425";"1"
"185";"6";"21";"app\Controller\User.php";"11";"310";"TooManyPublicMethods";"Code Size Rules";"Controller";"User";;"3";"The class User has 13 public methods. Consider refactoring User to keep number of public methods under 10.";"The class User has  public methods. Consider refactoring User to keep number of public methods under .";"1.0.5";"1.0.20";"2014-05-27";"2015-10-24";"515";"1"
"192";"6";"21";"app\Core\Response.php";"11";"252";"TooManyPublicMethods";"Code Size Rules";"Core";"Response";;"3";"The class Response has 16 public methods. Consider refactoring Response to keep number of public methods under 10.";"The class Response has  public methods. Consider refactoring Response to keep number of public methods under .";"1.0.5";"1.0.20";"2014-05-27";"2015-10-24";"515";"1"
"206";"6";"21";"app\Model\Base.php";"28";"77";"NumberOfChildren";"Design Rules";"Model";"Base";;"2";"The class Base has 15 children. Consider to rebalance this class hierarchy to keep number of children under 15.";"The class Base has  children. Consider to rebalance this class hierarchy to keep number of children under .";"1.0.5";"1.0.20";"2014-05-27";"2015-10-24";"515";"1"
"208";"6";"13";"app\Model\Board.php";"304";"304";"UnusedLocalVariable";"Unused Code Rules";;;;"3";"Avoid unused local variables such as '$column_title'.";"Avoid unused local variables such as '$column_title'.";"1.0.5";"1.0.12";"2014-05-27";"2015-02-22";"271";"1"
"221";"6";"21";"app\Model\Project.php";"15";"558";"TooManyPublicMethods";"Code Size Rules";"Model";"Project";;"3";"The class Project has 16 public methods. Consider refactoring Project to keep number of public methods under 10.";"The class Project has  public methods. Consider refactoring Project to keep number of public methods under .";"1.0.5";"1.0.20";"2014-05-27";"2015-10-24";"515";"1"
"228";"6";"10";"app\Model\Project.php";"346";"346";"UnusedLocalVariable";"Unused Code Rules";;;;"3";"Avoid unused local variables such as '$project_name'.";"Avoid unused local variables such as '$project_name'.";"1.0.5";"1.0.9";"2014-05-27";"2014-11-02";"159";"1"
