"id";"idversion_init";"idversion_end";"file";"begin_line";"end_line";"rule";"ruleset";"package";"class";"function";"priority";"violation";"violation_nonumbers";"version_init";"version_end";"date_init";"date_end";"diff";"censored"
"9361";"11";"0";"interface\super\rules\library\RuleManager.php";"19";"743";"CouplingBetweenObjects";"Design Rules";"+global";"RuleManager";;"2";"The class RuleManager has a coupling between objects value of 16. Consider to reduce the number of dependencies under 13.";"The class RuleManager has a coupling between objects value of . Consider to reduce the number of dependencies under .";"4_1_0";;"2011-09-21";"2019-10-11";"2942";"0"
"9502";"11";"32";"library\classes\rulesets\Cqm\reports\NFQ_0038\PopulationCriteria.php";"9";"48";"CouplingBetweenObjects";"Design Rules";"+global";"NFQ_0038_PopulationCriteria";;"2";"The class NFQ_0038_PopulationCriteria has a coupling between objects value of 15. Consider to reduce the number of dependencies under 13.";"The class NFQ__PopulationCriteria has a coupling between objects value of . Consider to reduce the number of dependencies under .";"4_1_0";"5_0_2";"2011-09-21";"2019-08-04";"2874";"1"
"10146";"12";"20";"library\adodb\adodb.inc.php";"327";"2710";"CouplingBetweenObjects";"Design Rules";"+global";"ADOConnection";;"2";"The class ADOConnection has a coupling between objects value of 13. Consider to reduce the number of dependencies under 13.";"The class ADOConnection has a coupling between objects value of . Consider to reduce the number of dependencies under .";"4_1_1";"4_2_2";"2012-08-30";"2016-05-18";"1357";"1"
"13061";"17";"21";"interface\modules\zend_modules\library\Zend\Authentication\Adapter\Http.php";"27";"802";"CouplingBetweenObjects";"Design Rules";"Zend\Authentication\Adapter";"Http";;"2";"The class Http has a coupling between objects value of 13. Consider to reduce the number of dependencies under 13.";"The class Http has a coupling between objects value of . Consider to reduce the number of dependencies under .";"4_2_0";"5_0_0";"2014-12-21";"2017-02-14";"786";"1"
"13104";"17";"21";"interface\modules\zend_modules\library\Zend\Barcode\Barcode.php";"18";"301";"CouplingBetweenObjects";"Design Rules";"Zend\Barcode";"Barcode";;"2";"The class Barcode has a coupling between objects value of 14. Consider to reduce the number of dependencies under 13.";"The class Barcode has a coupling between objects value of . Consider to reduce the number of dependencies under .";"4_2_0";"5_0_0";"2014-12-21";"2017-02-14";"786";"1"
"13158";"17";"21";"interface\modules\zend_modules\library\Zend\Barcode\Renderer\AbstractRenderer.php";"21";"490";"CouplingBetweenObjects";"Design Rules";"Zend\Barcode\Renderer";"AbstractRenderer";;"2";"The class AbstractRenderer has a coupling between objects value of 14. Consider to reduce the number of dependencies under 13.";"The class AbstractRenderer has a coupling between objects value of . Consider to reduce the number of dependencies under .";"4_2_0";"5_0_0";"2014-12-21";"2017-02-14";"786";"1"
"13213";"17";"21";"interface\modules\zend_modules\library\Zend\Cache\StorageFactory.php";"15";"238";"CouplingBetweenObjects";"Design Rules";"Zend\Cache";"StorageFactory";;"2";"The class StorageFactory has a coupling between objects value of 14. Consider to reduce the number of dependencies under 13.";"The class StorageFactory has a coupling between objects value of . Consider to reduce the number of dependencies under .";"4_2_0";"5_0_0";"2014-12-21";"2017-02-14";"786";"1"
"13224";"17";"21";"interface\modules\zend_modules\library\Zend\Cache\Storage\Adapter\AbstractAdapter.php";"27";"1580";"CouplingBetweenObjects";"Design Rules";"Zend\Cache\Storage\Adapter";"AbstractAdapter";;"2";"The class AbstractAdapter has a coupling between objects value of 19. Consider to reduce the number of dependencies under 13.";"The class AbstractAdapter has a coupling between objects value of . Consider to reduce the number of dependencies under .";"4_2_0";"5_0_0";"2014-12-21";"2017-02-14";"786";"1"
"13243";"17";"21";"interface\modules\zend_modules\library\Zend\Cache\Storage\Adapter\Dba.php";"25";"540";"CouplingBetweenObjects";"Design Rules";"Zend\Cache\Storage\Adapter";"Dba";;"2";"The class Dba has a coupling between objects value of 14. Consider to reduce the number of dependencies under 13.";"The class Dba has a coupling between objects value of . Consider to reduce the number of dependencies under .";"4_2_0";"5_0_0";"2014-12-21";"2017-02-14";"786";"1"
"13254";"17";"21";"interface\modules\zend_modules\library\Zend\Cache\Storage\Adapter\Filesystem.php";"29";"1618";"CouplingBetweenObjects";"Design Rules";"Zend\Cache\Storage\Adapter";"Filesystem";;"2";"The class Filesystem has a coupling between objects value of 13. Consider to reduce the number of dependencies under 13.";"The class Filesystem has a coupling between objects value of . Consider to reduce the number of dependencies under .";"4_2_0";"5_0_0";"2014-12-21";"2017-02-14";"786";"1"
