"id";"version1";"version2";"date1";"date2";"vage";"num_commits";"num_users";"commits_per_user";"commits_by_day";"newusers"
"2";"2005-07-01";"2005-07-13";"2005-07-01";"2005-07-13";"12";"0";"0";"0";"0.0000";"1"
"3";"2005-07-13";"2005-09-19";"2005-07-13";"2005-09-19";"68";"124";"22";"5.6364";"1.8235";"22"
"4";"2005-09-19";"2005-09-22";"2005-09-19";"2005-09-22";"3";"8";"5";"1.6000";"2.6667";"2"
"5";"2005-09-22";"2006-03-05";"2005-09-22";"2006-03-05";"164";"342";"43";"7.9535";"2.0854";"33"
"6";"2006-03-05";"2006-03-09";"2006-03-05";"2006-03-09";"4";"19";"6";"3.1667";"4.7500";"2"
"7";"2006-03-09";"2006-11-06";"2006-03-09";"2006-11-06";"242";"467";"35";"13.3429";"1.9298";"18"
"8";"2006-11-06";"2007-06-26";"2006-11-06";"2007-07-02";"238";"254";"30";"8.4667";"1.0672";"18"
"9";"2007-06-26";"2008-05-04";"2007-07-02";"2008-05-04";"307";"355";"30";"11.8333";"1.1564";"21"
"10";"2008-05-04";"2008-05-05";"2008-05-04";"2008-06-02";"29";"2";"1";"2.0000";"0.0690";"0"
"11";"2008-05-05";"2010-11-07";"2008-06-02";"2010-11-07";"888";"1444";"288";"5.0139";"1.6261";"91"
"12";"2010-11-07";"2010-11-07a";"2010-11-07";"2011-01-16";"70";"160";"33";"4.8485";"2.2857";"17"
"13";"2010-11-07a";"2011_05_25";"2011-01-16";"2011-05-25";"129";"299";"60";"4.9833";"2.3178";"36"
"14";"2011_05_25";"2011_05_25a";"2011-05-25";"2011-06-14";"20";"40";"13";"3.0769";"2.0000";"3"
"15";"2011_05_25a";"2012-01-25";"2011-06-14";"2012-01-25";"225";"597";"71";"8.4085";"2.6533";"40"
"16";"2012-01-25";"2012-01-25b";"2012-01-25";"2012-07-13";"170";"510";"51";"10.0000";"3.0000";"26"
"17";"2012-01-25b";"2012-10-13";"2012-07-13";"2012-10-13";"92";"211";"28";"7.5357";"2.2935";"11"
"18";"2012-10-13";"2013-05-10";"2012-10-13";"2013-05-10";"209";"495";"56";"8.8393";"2.3684";"30"
"19";"2013-05-10";"2013-05-10a";"2013-05-10";"2013-06-16";"37";"43";"7";"6.1429";"1.1622";"1"
"20";"2013-05-10a";"2013-12-08";"2013-06-16";"2013-12-08";"175";"757";"97";"7.8041";"4.3257";"61"
"21";"2013-12-08";"2014-05-05";"2013-12-08";"2014-05-05";"148";"578";"71";"8.1408";"3.9054";"49"
"22";"2014-05-05";"2014-05-05a";"2014-05-05";"2014-06-25";"51";"136";"32";"4.2500";"2.6667";"16"
"23";"2014-05-05a";"2014-09-29";"2014-06-25";"2014-09-29";"96";"152";"39";"3.8974";"1.5833";"26"
"24";"2014-09-29";"2014-09-29a";"2014-09-29";"2014-10-08";"9";"26";"9";"2.8889";"2.8889";"2"
"25";"2014-09-29a";"2014_09_29b";"2014-10-08";"2014-12-03";"56";"59";"19";"3.1053";"1.0536";"10"
"26";"2014_09_29b";"2014_09_29c";"2014-12-03";"2015-02-24";"83";"144";"44";"3.2727";"1.7349";"25"
"27";"2014_09_29c";"2014_09_29d";"2015-02-24";"2015-03-19";"23";"38";"10";"3.8000";"1.6522";"4"
"28";"2014_09_29d";"2015-08-10";"2015-03-19";"2015-08-10";"144";"393";"71";"5.5352";"2.7292";"43"
"29";"2015-08-10";"2015-08-10a";"2015-08-10";"2015-08-23";"13";"44";"13";"3.3846";"3.3846";"3"
"30";"2015-08-10a";"2016-06-26";"2015-08-23";"2016-06-26";"308";"427";"69";"6.1884";"1.3864";"41"
"31";"2016-06-26";"2016-06-26a";"2016-06-26";"2016-07-03";"7";"7";"4";"1.7500";"1.0000";"0"
"32";"2016-06-26a";"2017-02-19";"2016-07-03";"2017-02-19";"231";"271";"57";"4.7544";"1.1732";"36"
"33";"2017-02-19";"2017-02-19a";"2017-02-19";"2017-02-20";"1";"0";"0";"0";"0.0000";"0"
"34";"2017-02-19a";"2017-02-19b";"2017-02-20";"2017-03-07";"15";"23";"14";"1.6429";"1.5333";"5"
"35";"2017-02-19b";"2017-02-19c";"2017-03-07";"2017-08-11";"157";"182";"40";"4.5500";"1.1592";"27"
"36";"2017-02-19c";"2017-02-19d";"2017-08-11";"2017-08-22";"11";"18";"6";"3.0000";"1.6364";"1"
"37";"2017-02-19d";"2017-02-19e";"2017-08-22";"2017-08-23";"1";"4";"2";"2.0000";"4.0000";"0"
"38";"2017-02-19e";"2018-04-22";"2017-08-23";"2018-04-22";"242";"386";"58";"6.6552";"1.5950";"32"
"39";"2018-04-22";"2018-04-22a";"2018-04-22";"2018-05-03";"11";"54";"16";"3.3750";"4.9091";"8"
"40";"2018-04-22a";"2018-04-22b";"2018-05-03";"2019-01-06";"248";"352";"75";"4.6933";"1.4194";"50"
"41";"2018-04-22b";"next";"2019-01-06";"2020-05-01";"481";"589";"97";"6.0722";"1.2245";"0"
