"id";"version1";"version2";"date1";"date2";"vage";"num_commits";"num_users";"commits_per_user";"commits_by_day";"newusers"
"2";"2.0.1";"2.2.0";"2006-02-24";"2007-12-26";"670";"5466";"9";"607.3333";"8.1582";"9"
"3";"2.2.0";"2.4.0";"2007-12-26";"2008-08-22";"240";"1251";"7";"178.7143";"5.2125";"0"
"4";"2.4.0";"2.4.1";"2008-08-22";"2008-10-31";"70";"402";"4";"100.5000";"5.7429";"0"
"5";"2.4.1";"2.5.0";"2008-10-31";"2008-12-29";"59";"285";"3";"95.0000";"4.8305";"0"
"6";"2.5.0";"2.6.0";"2008-12-29";"2009-04-25";"117";"700";"3";"233.3333";"5.9829";"1"
"7";"2.6.0";"2.6.1";"2009-04-25";"2009-06-14";"50";"583";"3";"194.3333";"11.6600";"0"
"8";"2.6.1";"2.7.0";"2009-06-14";"2009-12-04";"173";"1320";"4";"330.0000";"7.6301";"1"
"9";"2.7.0";"2.7.1";"2009-12-04";"2009-12-30";"26";"217";"3";"72.3333";"8.3462";"0"
"10";"2.7.1";"2.8.0";"2009-12-30";"2010-03-16";"76";"742";"5";"148.4000";"9.7632";"1"
"11";"2.8.0";"2.8.1";"2010-03-16";"2010-05-02";"47";"634";"6";"105.6667";"13.4894";"1"
"12";"2.8.1";"2.9.0";"2010-05-02";"2010-09-29";"150";"1421";"8";"177.6250";"9.4733";"2"
"13";"2.9.0";"3.0.0";"2010-09-29";"2011-04-11";"194";"1986";"9";"220.6667";"10.2371";"3"
"14";"3.0.0";"3.0.1";"2011-04-11";"2011-07-10";"90";"1187";"6";"197.8333";"13.1889";"0"
"15";"3.0.1";"3.1.0";"2011-07-10";"2012-01-01";"175";"3548";"15";"236.5333";"20.2743";"8"
"16";"3.1.0";"3.1.1";"2012-01-01";"2012-03-01";"60";"752";"9";"83.5556";"12.5333";"2"
"17";"3.1.1";"3.2.0";"2012-03-01";"2012-07-11";"132";"1299";"10";"129.9000";"9.8409";"5"
"18";"3.2.0";"3.2.1";"2012-07-11";"2012-08-29";"49";"745";"11";"67.7273";"15.2041";"3"
"19";"3.2.1";"3.2.2";"2012-08-29";"2012-09-12";"14";"317";"8";"39.6250";"22.6429";"0"
"20";"3.2.2";"3.2.3";"2012-09-12";"2012-12-05";"84";"1047";"13";"80.5385";"12.4643";"3"
"21";"3.2.3";"3.3.0";"2012-12-05";"2013-02-20";"77";"816";"14";"58.2857";"10.5974";"3"
"22";"3.3.0";"3.3.1";"2013-02-20";"2013-03-18";"26";"548";"13";"42.1538";"21.0769";"1"
"23";"3.3.1";"3.3.2";"2013-03-18";"2013-05-22";"65";"1398";"20";"69.9000";"21.5077";"5"
"24";"3.3.2";"3.3.3";"2013-05-22";"2013-07-24";"63";"926";"19";"48.7368";"14.6984";"4"
"25";"3.3.3";"3.4.0";"2013-07-24";"2013-08-04";"11";"257";"8";"32.1250";"23.3636";"0"
"26";"3.4.0";"3.4.1";"2013-08-04";"2013-10-13";"70";"805";"16";"50.3125";"11.5000";"2"
"27";"3.4.1";"3.4.2";"2013-10-13";"2014-01-05";"84";"989";"22";"44.9545";"11.7738";"3"
"28";"3.4.2";"3.5.0";"2014-01-05";"2014-02-03";"29";"319";"19";"16.7895";"11.0000";"2"
"29";"3.5.0";"3.5.1";"2014-02-03";"2014-03-09";"34";"353";"20";"17.6500";"10.3824";"4"
"30";"3.5.1";"3.5.2";"2014-03-09";"2014-04-13";"35";"453";"21";"21.5714";"12.9429";"5"
"31";"3.5.2";"3.5.3";"2014-04-13";"2014-05-31";"48";"765";"18";"42.5000";"15.9375";"4"
"32";"3.5.3";"3.5.4";"2014-05-31";"2014-07-15";"45";"589";"19";"31.0000";"13.0889";"3"
"33";"3.5.4";"3.6.0";"2014-07-15";"2014-08-16";"32";"546";"22";"24.8182";"17.0625";"6"
