"id";"version1";"version2";"date1";"date2";"vage";"num_commits";"num_users";"commits_per_user";"commits_by_day";"newusers"
"2";"1.0.0";"1.0.1";"2014-02-17";"2014-02-22";"5";"15";"3";"5.0000";"3.0000";"3"
"3";"1.0.1";"1.0.2";"2014-02-22";"2014-02-28";"6";"21";"4";"5.2500";"3.5000";"2"
"4";"1.0.2";"1.0.3";"2014-02-28";"2014-03-15";"15";"34";"6";"5.6667";"2.2667";"2"
"5";"1.0.3";"1.0.4";"2014-03-15";"2014-05-04";"50";"47";"4";"11.7500";"0.9400";"2"
"6";"1.0.4";"1.0.5";"2014-05-04";"2014-05-27";"23";"34";"4";"8.5000";"1.4783";"3"
"7";"1.0.5";"1.0.6";"2014-05-27";"2014-06-30";"34";"30";"3";"10.0000";"0.8824";"0"
"8";"1.0.6";"1.0.7";"2014-06-30";"2014-08-20";"51";"70";"8";"8.7500";"1.3725";"6"
"9";"1.0.7";"1.0.8";"2014-08-20";"2014-09-19";"30";"81";"4";"20.2500";"2.7000";"2"
"10";"1.0.8";"1.0.9";"2014-09-19";"2014-11-02";"44";"89";"11";"8.0909";"2.0227";"8"
"11";"1.0.9";"1.0.10";"2014-11-02";"2014-12-07";"35";"104";"7";"14.8571";"2.9714";"4"
"12";"1.0.10";"1.0.11";"2014-12-07";"2015-01-10";"34";"68";"12";"5.6667";"2.0000";"6"
"13";"1.0.11";"1.0.12";"2015-01-10";"2015-02-22";"43";"184";"18";"10.2222";"4.2791";"14"
"14";"1.0.12";"1.0.13";"2015-02-22";"2015-04-06";"43";"142";"21";"6.7619";"3.3023";"11"
"15";"1.0.13";"1.0.14";"2015-04-06";"2015-05-02";"26";"57";"9";"6.3333";"2.1923";"2"
"16";"1.0.14";"1.0.15";"2015-05-02";"2015-05-31";"29";"73";"5";"14.6000";"2.5172";"2"
"17";"1.0.15";"1.0.16";"2015-05-31";"2015-06-28";"28";"85";"9";"9.4444";"3.0357";"3"
