"id";"version1";"version2";"date1";"date2";"vage";"num_commits";"num_users";"commits_per_user";"commits_by_day";"newusers"
"2";"1.1.0";"1.2.0";"2003-12-08";"2004-03-24";"107";"568";"14";"40.5714";"5.3084";"14"
"3";"1.2.0";"1.2.1";"2004-03-24";"2004-03-28";"4";"34";"6";"5.6667";"8.5000";"1"
"4";"1.2.1";"1.2.2";"2004-03-28";"2004-03-29";"1";"3";"2";"1.5000";"3.0000";"0"
"5";"1.2.2";"1.2.3";"2004-03-29";"2004-04-02";"4";"27";"3";"9.0000";"6.7500";"0"
"6";"1.2.3";"1.2.4";"2004-04-02";"2004-04-13";"11";"200";"11";"18.1818";"18.1818";"1"
"7";"1.2.4";"1.2.5";"2004-04-13";"2004-05-03";"20";"284";"12";"23.6667";"14.2000";"3"
"8";"1.2.5";"1.2.6";"2004-05-03";"2004-05-25";"22";"185";"8";"23.1250";"8.4091";"0"
"9";"1.2.6";"1.3.0";"2004-05-25";"2004-08-12";"79";"815";"20";"40.7500";"10.3165";"5"
"10";"1.3.0";"1.3.1";"2004-08-12";"2004-08-14";"2";"26";"6";"4.3333";"13.0000";"0"
"11";"1.3.1";"1.3.2";"2004-08-14";"2004-08-30";"16";"166";"9";"18.4444";"10.3750";"0"
"12";"1.3.2";"1.3.3";"2004-08-30";"2004-09-09";"10";"159";"8";"19.8750";"15.9000";"1"
"13";"1.3.3";"1.3.4";"2004-09-09";"2004-09-29";"20";"303";"11";"27.5455";"15.1500";"2"
"14";"1.3.4";"1.3.5";"2004-09-29";"2004-09-30";"1";"6";"4";"1.5000";"6.0000";"0"
"15";"1.3.5";"1.3.6";"2004-09-30";"2004-10-14";"14";"191";"12";"15.9167";"13.6429";"1"
"16";"1.3.6";"1.3.7";"2004-10-14";"2004-10-18";"4";"21";"7";"3.0000";"5.2500";"0"
"17";"1.3.7";"1.3.8";"2004-10-18";"2004-11-15";"28";"199";"12";"16.5833";"7.1071";"1"
"18";"1.3.8";"1.3.9";"2004-11-15";"2004-12-12";"27";"220";"13";"16.9231";"8.1481";"1"
"19";"1.3.9";"1.3.10";"2004-12-12";"2005-02-04";"54";"315";"11";"28.6364";"5.8333";"1"
"20";"1.3.10";"1.3.11";"2005-02-04";"2005-02-21";"17";"79";"10";"7.9000";"4.6471";"1"
"21";"1.3.11";"1.4.0";"2005-02-21";"2005-03-21";"28";"152";"11";"13.8182";"5.4286";"0"
"22";"1.4.0";"1.4.1";"2005-03-21";"2005-04-17";"27";"308";"9";"34.2222";"11.4074";"2"
"23";"1.4.1";"1.4.2";"2005-04-17";"2005-04-21";"4";"47";"7";"6.7143";"11.7500";"0"
"24";"1.4.2";"1.4.3";"2005-04-21";"2005-04-29";"8";"122";"8";"15.2500";"15.2500";"0"
"25";"1.4.3";"1.4.4";"2005-04-29";"2005-05-04";"5";"100";"6";"16.6667";"20.0000";"0"
"26";"1.4.4";"1.4.5";"2005-05-04";"2005-06-03";"30";"319";"11";"29.0000";"10.6333";"2"
"27";"1.4.5";"1.4.6";"2005-06-03";"2005-07-07";"34";"488";"14";"34.8571";"14.3529";"1"
"28";"1.4.6";"1.4.7";"2005-07-07";"2005-07-16";"9";"89";"10";"8.9000";"9.8889";"0"
"29";"1.4.7";"1.4.8";"2005-07-16";"2005-08-23";"38";"383";"15";"25.5333";"10.0789";"1"
"30";"1.4.8";"1.4.9";"2005-08-23";"2005-08-29";"6";"71";"8";"8.8750";"11.8333";"0"
"31";"1.4.9";"1.4.10";"2005-08-29";"2005-09-21";"23";"173";"9";"19.2222";"7.5217";"0"
"33";"1.4.10";"1.5.0";"2005-09-21";"2005-10-06";"15";"63";"8";"7.8750";"4.2000";"0"
"34";"1.5.0";"1.5.1";"2005-10-06";"2005-10-26";"20";"225";"12";"18.7500";"11.2500";"1"
"35";"1.5.1";"1.5.2";"2005-10-26";"2005-11-03";"8";"76";"9";"8.4444";"9.5000";"0"
"36";"1.5.2";"1.5.3";"2005-11-03";"2005-12-04";"31";"197";"13";"15.1538";"6.3548";"0"
"37";"1.5.3";"1.5.4";"2005-12-04";"2005-12-22";"18";"132";"11";"12.0000";"7.3333";"0"
"38";"1.5.4";"1.5.5";"2005-12-22";"2006-01-05";"14";"143";"9";"15.8889";"10.2143";"1"
"39";"1.5.5";"1.5.6";"2006-01-05";"2006-01-19";"14";"277";"11";"25.1818";"19.7857";"0"
"40";"1.5.6";"1.5.7";"2006-01-19";"2006-03-02";"42";"238";"14";"17.0000";"5.6667";"1"
"41";"1.5.7";"1.5.8";"2006-03-02";"2006-03-26";"24";"116";"13";"8.9231";"4.8333";"0"
"43";"1.5.8";"1.6.1";"2006-03-26";"2006-04-05";"10";"129";"8";"16.1250";"12.9000";"0"
"44";"1.6.1";"1.6.2";"2006-04-05";"2006-04-08";"3";"20";"5";"4.0000";"6.6667";"0"
