"id";"version1";"version2";"date1";"date2";"vage";"num_commits";"num_users";"commits_per_user";"commits_by_day";"newusers"
"2";"1.5.5.1";"1.5.6";"2013-04-28";"2013-08-01";"95";"186";"22";"8.4545";"1.9579";"22"
"3";"1.5.6";"1.5.6.1";"2013-08-01";"2014-01-09";"161";"434";"26";"16.6923";"2.6957";"19"
"4";"1.5.6.1";"1.5.6.2";"2014-01-09";"2014-04-10";"91";"313";"22";"14.2273";"3.4396";"15"
"5";"1.5.6.2";"1.5.6.3";"2014-04-10";"2014-04-15";"5";"26";"6";"4.3333";"5.2000";"0"
"6";"1.5.6.3";"1.5.6.4";"2014-04-15";"2014-04-24";"9";"28";"8";"3.5000";"3.1111";"2"
"7";"1.5.6.4";"2.0.0.0";"2014-04-24";"2014-10-01";"160";"1112";"34";"32.7059";"6.9500";"22"
"8";"2.0.0.0";"2.0.1.0";"2014-10-01";"2014-11-30";"60";"498";"36";"13.8333";"8.3000";"23"
"9";"2.0.1.0";"2.0.1.1";"2014-11-30";"2014-12-06";"6";"56";"12";"4.6667";"9.3333";"4"
"10";"2.0.1.1";"2.0.2.0";"2014-12-06";"2015-03-30";"114";"354";"28";"12.6429";"3.1053";"12"
"11";"2.0.2.0";"2.0.3.0";"2015-03-30";"2015-05-20";"51";"141";"23";"6.1304";"2.7647";"14"
"12";"2.0.3.0";"2.0.3.1";"2015-05-20";"2015-05-27";"7";"28";"5";"5.6000";"4.0000";"1"
"13";"2.0.3.1";"2.1.0.0";"2015-05-27";"2015-09-27";"123";"455";"28";"16.2500";"3.6992";"13"
"14";"2.1.0.0";"2.1.0.1";"2015-09-27";"2015-10-06";"9";"30";"8";"3.7500";"3.3333";"2"
"15";"2.1.0.1";"2.1.0.2";"2015-10-06";"2015-12-30";"85";"336";"33";"10.1818";"3.9529";"16"
"16";"2.1.0.2";"2.2.0.0";"2015-12-30";"2016-03-02";"63";"457";"36";"12.6944";"7.2540";"15"
"17";"2.2.0.0";"2.3.0.0";"2016-03-02";"2016-07-30";"150";"1117";"64";"17.4531";"7.4467";"40"
"18";"2.3.0.0";"2.3.0.1";"2016-07-30";"2016-07-31";"1";"10";"5";"2.0000";"10.0000";"0"
"19";"2.3.0.1";"2.3.0.2";"2016-07-31";"2016-08-01";"1";"7";"3";"2.3333";"7.0000";"0"
"20";"2.3.0.2";"3.0.0.0";"2016-08-01";"2017-06-19";"322";"902";"66";"13.6667";"2.8012";"41"
"23";"3.0.0.0";"3.0.1.1";"2017-06-19";"2017-07-04";"15";"205";"16";"12.8125";"13.6667";"5"
"24";"3.0.1.1";"3.0.1.2";"2017-07-04";"2017-07-07";"3";"60";"8";"7.5000";"20.0000";"2"
"25";"3.0.1.2";"3.0.2.0";"2017-07-07";"2017-07-17";"10";"80";"11";"7.2727";"8.0000";"6"
"26";"3.0.2.0";"3.0.3.0";"2017-07-17";"2019-01-02";"534";"1114";"68";"16.3824";"2.0861";"38"
"27";"3.0.3.0";"3.0.3.1";"2019-01-02";"2019-01-04";"2";"4";"2";"2.0000";"2.0000";"0"
"28";"3.0.3.1";"3.0.3.2";"2019-01-04";"2019-04-09";"95";"91";"10";"9.1000";"0.9579";"4"
"29";"3.0.3.2";"next";"2019-04-09";"2020-05-01";"388";"306";"30";"10.2000";"0.7887";"0"
