"id";"version1";"version2";"date1";"date2";"vage";"num_commits";"num_users";"commits_per_user";"commits_by_day";"newusers"
"2";"2_7_2";"2_8_0";"2005-06-01";"2005-11-11";"163";"134";"4";"33.5000";"0.8221";"4"
"3";"2_8_0";"2_8_1";"2005-11-11";"2006-01-17";"67";"65";"3";"21.6667";"0.9701";"1"
"4";"2_8_1";"2_8_3";"2006-01-17";"2007-08-22";"582";"469";"6";"78.1667";"0.8058";"2"
"5";"2_8_3";"2_9_0";"2007-08-22";"2008-08-06";"350";"499";"7";"71.2857";"1.4257";"3"
"6";"2_9_0";"3_0_0";"2008-08-06";"2009-03-15";"221";"300";"4";"75.0000";"1.3575";"0"
"7";"3_0_0";"3_0_1";"2009-03-15";"2009-03-31";"16";"52";"4";"13.0000";"3.2500";"0"
"8";"3_0_1";"3_1_0";"2009-03-31";"2009-08-24";"146";"459";"5";"91.8000";"3.1438";"1"
"9";"3_1_0";"3_2_0";"2009-08-24";"2010-02-16";"176";"203";"6";"33.8333";"1.1534";"4"
"10";"3_2_0";"4_0_0";"2010-02-16";"2011-03-26";"403";"560";"26";"21.5385";"1.3896";"21"
"11";"4_0_0";"4_1_0";"2011-03-26";"2011-09-21";"179";"235";"31";"7.5806";"1.3128";"19"
"12";"4_1_0";"4_1_1";"2011-09-21";"2012-08-30";"344";"293";"28";"10.4643";"0.8517";"15"
"13";"4_1_1";"4_1_2";"2012-08-30";"2013-08-17";"352";"396";"30";"13.2000";"1.1250";"18"
"14";"4_1_2";"4_1_2_3";"2013-08-17";"2013-11-02";"77";"16";"6";"2.6667";"0.2078";"1"
"15";"4_1_2_3";"4_1_2_6";"2013-11-02";"2014-06-07";"217";"72";"17";"4.2353";"0.3318";"8"
"16";"4_1_2_6";"4_1_2_7";"2014-06-07";"2014-06-13";"6";"2";"1";"2.0000";"0.3333";"0"
"17";"4_1_2_7";"4_2_0";"2014-06-13";"2014-12-21";"191";"88";"15";"5.8667";"0.4607";"4"
"18";"4_2_0";"4_2_0_3";"2014-12-21";"2015-05-30";"160";"65";"19";"3.4211";"0.4063";"7"
"19";"4_2_0_3";"4_2_1";"2015-05-30";"2016-03-24";"299";"251";"30";"8.3667";"0.8395";"15"
"20";"4_2_1";"4_2_2";"2016-03-24";"2016-05-18";"55";"82";"15";"5.4667";"1.4909";"4"
"21";"4_2_2";"5_0_0";"2016-05-18";"2017-02-14";"272";"558";"53";"10.5283";"2.0515";"30"
"22";"5_0_0";"5_0_0_5";"2017-02-14";"2017-09-23";"221";"702";"46";"15.2609";"3.1765";"17"
"23";"5_0_0_5";"5_0_0_6";"2017-09-23";"2017-11-10";"48";"118";"15";"7.8667";"2.4583";"1"
"24";"5_0_0_6";"5_0_1";"2017-11-10";"2018-04-21";"162";"409";"24";"17.0417";"2.5247";"3"
"25";"5_0_1";"5_0_1_1";"2018-04-21";"2018-04-28";"7";"14";"5";"2.8000";"2.0000";"1"
"26";"5_0_1_1";"5_0_1_2";"2018-04-28";"2018-05-07";"9";"18";"7";"2.5714";"2.0000";"0"
"27";"5_0_1_2";"5_0_1_3";"2018-05-07";"2018-05-28";"21";"56";"15";"3.7333";"2.6667";"3"
"28";"5_0_1_3";"5_0_1_4";"2018-05-28";"2018-07-15";"48";"102";"15";"6.8000";"2.1250";"0"
"29";"5_0_1_4";"5_0_1_5";"2018-07-15";"2018-08-17";"33";"51";"10";"5.1000";"1.5455";"0"
"30";"5_0_1_5";"5_0_1_6";"2018-08-17";"2018-09-09";"23";"50";"11";"4.5455";"2.1739";"0"
"31";"5_0_1_6";"5_0_1_7";"2018-09-09";"2019-02-15";"159";"419";"40";"10.4750";"2.6352";"20"
"32";"5_0_1_7";"5_0_2";"2019-02-15";"2019-08-04";"170";"323";"43";"7.5116";"1.9000";"16"
"33";"5_0_2";"5_0_2_1";"2019-08-04";"2019-10-11";"68";"119";"22";"5.4091";"1.7500";"7"
"34";"5_0_2_1";"next";"2019-10-11";"2020-04-29";"201";"529";"46";"11.5000";"2.6318";"0"
