"id";"version1";"version2";"date1";"date2";"vage";"num_commits";"num_users";"commits_per_user";"commits_by_day";"newusers"
"2";"2.0.0";"2.0.1";"2002-04-04";"2002-05-20";"46";"22";"3";"7.3333";"0.4783";"3"
"3";"2.0.1";"2.0.2";"2002-05-20";"2002-08-08";"80";"176";"3";"58.6667";"2.2000";"1"
"4";"2.0.2";"2.0.3";"2002-08-08";"2002-09-28";"51";"42";"2";"21.0000";"0.8235";"1"
"5";"2.0.3";"2.0.4";"2002-09-28";"2003-01-15";"109";"202";"4";"50.5000";"1.8532";"1"
"6";"2.0.4";"2.0.5";"2003-01-15";"2003-06-15";"151";"694";"4";"173.5000";"4.5960";"1"
"7";"2.0.5";"2.0.6";"2003-06-15";"2003-08-03";"49";"186";"3";"62.0000";"3.7959";"0"
"8";"2.0.6";"2.0.7";"2003-08-03";"2004-03-13";"223";"509";"4";"127.2500";"2.2825";"0"
"9";"2.0.7";"2.0.8";"2004-03-13";"2004-03-25";"12";"3";"2";"1.5000";"0.2500";"0"
"10";"2.0.8";"2.0.8a";"2004-03-25";"2004-03-28";"3";"0";"0";"0";"0.0000";"0"
"11";"2.0.8a";"2.0.9";"2004-03-28";"2004-07-11";"105";"44";"3";"14.6667";"0.4190";"0"
"12";"2.0.9";"2.0.10";"2004-07-11";"2004-07-17";"6";"0";"0";"0";"0.0000";"0"
"13";"2.0.10";"2.0.11";"2004-07-17";"2004-11-18";"124";"92";"3";"30.6667";"0.7419";"0"
"14";"2.0.11";"2.0.12";"2004-11-18";"2005-02-21";"95";"62";"3";"20.6667";"0.6526";"0"
"15";"2.0.12";"2.0.13";"2005-02-21";"2005-02-27";"6";"0";"0";"0";"0.0000";"0"
"16";"2.0.13";"2.0.14";"2005-02-27";"2005-04-18";"50";"13";"2";"6.5000";"0.2600";"0"
"17";"2.0.14";"2.0.15";"2005-04-18";"2005-05-13";"25";"21";"2";"10.5000";"0.8400";"0"
"18";"2.0.15";"2.0.16";"2005-05-13";"2005-06-28";"46";"13";"2";"6.5000";"0.2826";"0"
"19";"2.0.16";"2.0.17";"2005-06-28";"2005-08-08";"41";"21";"3";"7.0000";"0.5122";"0"
