"id";"version1";"version2";"date1";"date2";"vage";"num_commits";"num_users";"commits_per_user";"commits_by_day";"newusers"
"2";"3.0.0";"3.0.1";"2008-09-27";"2008-10-22";"25";"59";"3";"19.6667";"2.3600";"3"
"3";"3.0.1";"3.0.1.1";"2008-10-22";"2008-10-30";"8";"25";"2";"12.5000";"3.1250";"0"
"4";"3.0.1.1";"3.1.0";"2008-10-30";"2008-11-28";"29";"158";"4";"39.5000";"5.4483";"1"
"5";"3.1.0";"3.1.1";"2008-11-28";"2008-12-06";"8";"47";"3";"15.6667";"5.8750";"0"
"6";"3.1.1";"3.1.2";"2008-12-06";"2009-01-19";"44";"114";"5";"22.8000";"2.5909";"1"
"7";"3.1.2";"3.1.3";"2009-01-19";"2009-02-28";"40";"61";"4";"15.2500";"1.5250";"2"
"8";"3.1.3";"3.1.3.1";"2009-02-28";"2009-03-24";"24";"48";"3";"16.0000";"2.0000";"0"
"9";"3.1.3.1";"3.1.3.2";"2009-03-24";"2009-04-14";"21";"67";"3";"22.3333";"3.1905";"0"
"10";"3.1.3.2";"3.1.4";"2009-04-14";"2009-04-25";"11";"23";"3";"7.6667";"2.0909";"0"
"11";"3.1.4";"3.1.5";"2009-04-25";"2009-05-15";"20";"30";"2";"15.0000";"1.5000";"0"
"12";"3.1.5";"3.2.0";"2009-05-15";"2009-06-15";"31";"84";"3";"28.0000";"2.7097";"0"
"13";"3.2.0";"3.2.0.1";"2009-06-15";"2009-06-30";"15";"30";"2";"15.0000";"2.0000";"0"
"14";"3.2.0.1";"3.2.2";"2009-06-30";"2009-09-13";"75";"141";"6";"23.5000";"1.8800";"3"
"15";"3.2.2";"3.2.2.1";"2009-09-13";"2009-10-12";"29";"64";"5";"12.8000";"2.2069";"0"
"16";"3.2.2.1";"3.2.3";"2009-10-12";"2009-10-30";"18";"44";"4";"11.0000";"2.4444";"1"
"17";"3.2.3";"3.2.4";"2009-10-30";"2009-12-02";"33";"61";"4";"15.2500";"1.8485";"0"
"18";"3.2.4";"3.2.5";"2009-12-02";"2010-01-10";"39";"111";"3";"37.0000";"2.8462";"0"
"19";"3.2.5";"3.3.0";"2010-01-10";"2010-03-07";"56";"209";"4";"52.2500";"3.7321";"0"
"20";"3.3.0";"3.3.1";"2010-03-07";"2010-03-16";"9";"274";"10";"27.4000";"30.4444";"6"
"21";"3.3.1";"3.3.2";"2010-03-16";"2010-04-13";"28";"1206";"41";"29.4146";"43.0714";"32"
"22";"3.3.2";"3.3.3";"2010-04-13";"2010-05-10";"27";"1393";"19";"73.3158";"51.5926";"6"
