"id";"version1";"version2";"date1";"date2";"vage";"num_commits";"num_users";"commits_per_user";"commits_by_day";"newusers"
"2";"0.1.0";"0.5.0";"2002-02-11";"2002-12-14";"306";"86";"4";"21.5000";"0.2810";"4"
"3";"0.5.0";"0.6.0";"2002-12-14";"2002-12-24";"10";"23";"3";"7.6667";"2.3000";"1"
"4";"0.6.0";"0.6.5";"2002-12-24";"2003-01-17";"24";"72";"5";"14.4000";"3.0000";"1"
"5";"0.6.5";"3.0.1";"2003-01-17";"2003-08-13";"208";"438";"5";"87.6000";"2.1058";"1"
"6";"3.0.1";"3.2.1";"2003-08-13";"2003-12-03";"112";"146";"3";"48.6667";"1.3036";"1"
"7";"3.2.1";"3.3.1";"2003-12-03";"2004-03-07";"95";"86";"4";"21.5000";"0.9053";"0"
"8";"3.3.1";"3.4.1";"2004-03-07";"2004-07-01";"116";"125";"4";"31.2500";"1.0776";"0"
"9";"3.4.1";"3.5.1";"2004-07-01";"2004-12-13";"165";"155";"5";"31.0000";"0.9394";"1"
"10";"3.5.1";"3.5.2";"2004-12-13";"2005-02-18";"67";"31";"5";"6.2000";"0.4627";"1"
"11";"3.5.2";"3.5.3";"2005-02-18";"2005-04-16";"57";"31";"5";"6.2000";"0.5439";"0"
"12";"3.5.3";"3.5.4";"2005-04-16";"2005-07-15";"90";"46";"4";"11.5000";"0.5111";"0"
"13";"3.5.4";"3.5.5";"2005-07-15";"2005-08-12";"28";"32";"4";"8.0000";"1.1429";"0"
"14";"3.5.5";"3.5.6";"2005-08-12";"2005-10-18";"67";"25";"5";"5.0000";"0.3731";"0"
"15";"3.5.6";"4.0.1";"2005-10-18";"2005-11-23";"36";"37";"4";"9.2500";"1.0278";"0"
"16";"4.0.1";"4.1.1";"2005-11-23";"2007-03-24";"486";"160";"5";"32.0000";"0.3292";"0"
"17";"4.1.1";"4.1.2";"2007-03-24";"2007-06-01";"69";"73";"4";"18.2500";"1.0580";"1"
"18";"4.1.2";"4.1.3";"2007-06-01";"2007-07-11";"40";"8";"3";"2.6667";"0.2000";"0"
"19";"4.1.3";"4.2.1";"2007-07-11";"2008-08-02";"388";"171";"4";"42.7500";"0.4407";"1"
"20";"4.2.1";"4.2.2";"2008-08-02";"2008-12-18";"138";"36";"4";"9.0000";"0.2609";"3"
"21";"4.2.2";"4.2.3";"2008-12-18";"2010-03-23";"460";"82";"9";"9.1111";"0.1783";"5"
"22";"4.2.3";"5.0.0";"2010-03-23";"2010-11-29";"251";"89";"15";"5.9333";"0.3546";"11"
"23";"5.0.0";"5.0.1";"2010-11-29";"2010-12-13";"14";"9";"1";"9.0000";"0.6429";"0"
"24";"5.0.1";"5.0.2";"2010-12-13";"2011-01-03";"21";"4";"1";"4.0000";"0.1905";"0"
"25";"5.0.2";"5.0.3";"2011-01-03";"2011-10-03";"273";"26";"9";"2.8889";"0.0952";"2"
"26";"5.0.3";"5.0.4";"2011-10-03";"2012-03-22";"171";"21";"1";"21.0000";"0.1228";"0"
"27";"5.0.4";"5.1.0";"2012-03-22";"2013-04-14";"388";"98";"11";"8.9091";"0.2526";"6"
"28";"5.1.0";"5.6.0";"2013-04-14";"2018-11-12";"2038";"107";"25";"4.2800";"0.0525";"15"
"29";"5.6.0";"7.12.0";"2018-11-12";"2019-09-28";"320";"22";"9";"2.4444";"0.0688";"5"
"30";"7.12.0";"next";"2019-09-28";"2019-12-09";"72";"22";"5";"4.4000";"0.3056";"0"
