"id";"version1";"version2";"date1";"date2";"vage";"num_commits";"num_users";"commits_per_user";"commits_by_day";"newusers"
"2";"1.5.0.0";"1.5.0.1";"2011-07-06";"2011-11-23";"140";"1808";"26";"69.5385";"12.9143";"26"
"3";"1.5.0.1";"1.5.0.2";"2011-11-23";"2011-12-23";"30";"1902";"25";"76.0800";"63.4000";"3"
"4";"1.5.0.2";"1.5.0.3";"2011-12-23";"2011-12-29";"6";"274";"16";"17.1250";"45.6667";"0"
"5";"1.5.0.3";"1.5.0.5";"2011-12-29";"2012-02-14";"47";"2150";"22";"97.7273";"45.7447";"0"
"6";"1.5.0.5";"1.5.0.9";"2012-02-14";"2012-03-26";"41";"1504";"21";"71.6190";"36.6829";"1"
"7";"1.5.0.9";"1.5.0.13";"2012-03-26";"2012-06-07";"73";"2428";"24";"101.1667";"33.2603";"4"
"8";"1.5.0.13";"1.5.0.15";"2012-06-07";"2012-08-06";"60";"1156";"18";"64.2222";"19.2667";"0"
"9";"1.5.0.15";"1.5.0.17";"2012-08-06";"2012-09-13";"38";"900";"14";"64.2857";"23.6842";"1"
"10";"1.5.0.17";"1.5.1.0";"2012-09-13";"2012-10-04";"21";"702";"8";"87.7500";"33.4286";"0"
"11";"1.5.1.0";"1.5.2.0";"2012-10-04";"2012-10-23";"19";"246";"7";"35.1429";"12.9474";"0"
"12";"1.5.2.0";"1.5.3.0";"2012-10-23";"2012-12-28";"66";"1088";"35";"31.0857";"16.4848";"23"
"13";"1.5.3.0";"1.5.3.1";"2012-12-28";"2012-12-31";"3";"30";"5";"6.0000";"10.0000";"1"
"14";"1.5.3.1";"1.5.4.0";"2012-12-31";"2013-03-27";"86";"1820";"39";"46.6667";"21.1628";"26"
"15";"1.5.4.0";"1.5.4.1";"2013-03-27";"2013-04-25";"29";"559";"20";"27.9500";"19.2759";"7"
"16";"1.5.4.1";"1.5.5.0";"2013-04-25";"2013-08-29";"126";"1650";"82";"20.1220";"13.0952";"58"
"17";"1.5.5.0";"1.5.6.0";"2013-08-29";"2013-10-07";"39";"938";"49";"19.1429";"24.0513";"21"
"18";"1.5.6.0";"1.6.0.1";"2013-10-07";"2013-11-18";"42";"1217";"57";"21.3509";"28.9762";"21"
"19";"1.6.0.1";"1.5.6.1";"2013-11-18";"2013-11-20";"2";"72";"14";"5.1429";"36.0000";"3"
"20";"1.5.6.1";"1.6.0.2";"2013-11-20";"2013-12-19";"29";"831";"47";"17.6809";"28.6552";"16"
"21";"1.6.0.2";"1.5.6.2";"2013-12-19";"2014-01-20";"32";"1139";"42";"27.1190";"35.5938";"7"
"22";"1.5.6.2";"1.6.0.3";"2014-01-20";"2014-02-03";"14";"442";"26";"17.0000";"31.5714";"5"
"23";"1.6.0.3";"1.6.0.4";"2014-02-03";"2014-03-06";"31";"1234";"45";"27.4222";"39.8065";"15"
"24";"1.6.0.4";"1.6.0.5";"2014-03-06";"2014-03-17";"11";"407";"30";"13.5667";"37.0000";"6"
"25";"1.6.0.5";"1.6.0.6";"2014-03-17";"2014-04-10";"24";"721";"38";"18.9737";"30.0417";"12"
"26";"1.6.0.6";"1.6.0.7";"2014-04-10";"2014-06-17";"68";"1103";"53";"20.8113";"16.2206";"23"
"27";"1.6.0.7";"1.6.0.8";"2014-06-17";"2014-06-20";"3";"59";"10";"5.9000";"19.6667";"3"
"28";"1.6.0.8";"1.6.0.9";"2014-06-20";"2014-07-30";"40";"654";"48";"13.6250";"16.3500";"20"
"29";"1.6.0.9";"1.6.0.10";"2014-07-30";"2014-11-14";"107";"1515";"84";"18.0357";"14.1589";"26"
"30";"1.6.0.10";"1.6.0.11";"2014-11-14";"2015-01-07";"54";"713";"41";"17.3902";"13.2037";"11"
"31";"1.6.0.11";"1.6.0.12";"2015-01-07";"2015-02-23";"47";"913";"53";"17.2264";"19.4255";"19"
"32";"1.6.0.12";"1.6.0.13";"2015-02-23";"2015-02-24";"1";"15";"6";"2.5000";"15.0000";"0"
"33";"1.6.0.13";"1.6.0.14";"2015-02-24";"2015-03-06";"10";"194";"31";"6.2581";"19.4000";"7"
"34";"1.6.0.14";"1.6.1.0";"2015-03-06";"2015-07-02";"118";"1485";"92";"16.1413";"12.5847";"33"
"35";"1.6.1.0";"1.6.1.1";"2015-07-02";"2015-08-20";"49";"1469";"61";"24.0820";"29.9796";"18"
"36";"1.6.1.1";"1.6.1.2";"2015-08-20";"2015-10-29";"70";"812";"57";"14.2456";"11.6000";"11"
"37";"1.6.1.2";"1.6.1.3";"2015-10-29";"2015-11-26";"28";"133";"15";"8.8667";"4.7500";"3"
"38";"1.6.1.3";"1.6.1.4";"2015-11-26";"2016-01-07";"42";"137";"14";"9.7857";"3.2619";"4"
"39";"1.6.1.4";"1.6.1.5";"2016-01-07";"2016-04-15";"99";"2724";"82";"33.2195";"27.5152";"39"
"40";"1.6.1.5";"1.6.1.6";"2016-04-15";"2016-06-15";"61";"857";"51";"16.8039";"14.0492";"12"
"41";"1.6.1.6";"1.6.1.7";"2016-06-15";"2016-09-08";"85";"1081";"52";"20.7885";"12.7176";"16"
"42";"1.6.1.7";"1.6.1.8";"2016-09-08";"2016-10-20";"42";"1093";"55";"19.8727";"26.0238";"21"
"43";"1.6.1.8";"1.6.1.9";"2016-10-20";"2016-11-07";"18";"287";"22";"13.0455";"15.9444";"0"
"44";"1.6.1.9";"1.7.0.0";"2016-11-07";"2016-11-08";"1";"9";"8";"1.1250";"9.0000";"0"
"45";"1.7.0.0";"1.7.0.1";"2016-11-08";"2016-11-16";"8";"56";"11";"5.0909";"7.0000";"0"
"46";"1.7.0.1";"1.7.0.2";"2016-11-16";"2016-11-28";"12";"129";"19";"6.7895";"10.7500";"1"
"47";"1.7.0.2";"1.7.0.3";"2016-11-28";"2016-12-21";"23";"268";"32";"8.3750";"11.6522";"4"
"48";"1.7.0.3";"1.7.0.4";"2016-12-21";"2017-01-10";"20";"161";"19";"8.4737";"8.0500";"4"
"49";"1.7.0.4";"1.7.0.5";"2017-01-10";"2017-02-13";"34";"635";"72";"8.8194";"18.6765";"25"
"50";"1.7.0.5";"1.7.0.6";"2017-02-13";"2017-03-03";"18";"160";"31";"5.1613";"8.8889";"2"
"51";"1.7.0.6";"1.7.1.0";"2017-03-03";"2017-04-03";"31";"123";"22";"5.5909";"3.9677";"3"
"52";"1.7.1.0";"1.7.1.1";"2017-04-03";"2017-04-20";"17";"131";"18";"7.2778";"7.7059";"3"
"53";"1.7.1.1";"1.7.1.2";"2017-04-20";"2017-06-07";"48";"315";"37";"8.5135";"6.5625";"12"
"54";"1.7.1.2";"1.7.2.0";"2017-06-07";"2017-07-20";"43";"714";"32";"22.3125";"16.6047";"11"
"55";"1.7.2.0";"1.7.2.1";"2017-07-20";"2017-08-18";"29";"189";"25";"7.5600";"6.5172";"5"
"56";"1.7.2.1";"1.7.2.2";"2017-08-18";"2017-08-31";"13";"105";"18";"5.8333";"8.0769";"4"
"57";"1.7.2.2";"1.7.2.3";"2017-08-31";"2017-10-05";"35";"250";"31";"8.0645";"7.1429";"7"
"58";"1.7.2.3";"1.7.2.4";"2017-10-05";"2017-10-24";"19";"193";"20";"9.6500";"10.1579";"5"
"59";"1.7.2.4";"1.7.2.5";"2017-10-24";"2018-02-21";"120";"988";"62";"15.9355";"8.2333";"29"
"60";"1.7.2.5";"1.7.3.0";"2018-02-21";"2018-02-26";"5";"25";"7";"3.5714";"5.0000";"0"
"61";"1.7.3.0";"1.7.3.1";"2018-02-26";"2018-04-09";"42";"532";"42";"12.6667";"12.6667";"12"
"62";"1.7.3.1";"1.7.3.2";"2018-04-09";"2018-05-03";"24";"345";"35";"9.8571";"14.3750";"14"
"63";"1.7.3.2";"1.7.3.3";"2018-05-03";"2018-05-24";"21";"280";"29";"9.6552";"13.3333";"11"
"64";"1.7.3.3";"1.7.3.4";"2018-05-24";"2018-06-27";"34";"388";"37";"10.4865";"11.4118";"10"
"65";"1.7.3.4";"1.7.4.0";"2018-06-27";"2018-07-03";"6";"139";"20";"6.9500";"23.1667";"3"
"66";"1.7.4.0";"1.7.4.1";"2018-07-03";"2018-07-16";"13";"222";"28";"7.9286";"17.0769";"6"
"67";"1.7.4.1";"1.7.4.2";"2018-07-16";"2018-07-27";"11";"148";"26";"5.6923";"13.4545";"6"
"68";"1.7.4.2";"1.7.4.3";"2018-07-27";"2018-10-03";"68";"1481";"64";"23.1406";"21.7794";"26"
"69";"1.7.4.3";"1.7.4.4";"2018-10-03";"2018-11-06";"34";"716";"46";"15.5652";"21.0588";"12"
"70";"1.7.4.4";"1.7.5.0";"2018-11-06";"2018-12-17";"41";"682";"51";"13.3725";"16.6341";"13"
"71";"1.7.5.0";"1.7.5.1";"2018-12-17";"2019-02-18";"63";"1546";"62";"24.9355";"24.5397";"26"
"72";"1.7.5.1";"1.7.5.2";"2019-02-18";"2019-05-02";"73";"2145";"68";"31.5441";"29.3836";"24"
"73";"1.7.5.2";"1.7.6.0";"2019-05-02";"2019-07-09";"68";"1117";"57";"19.5965";"16.4265";"20"
"74";"1.7.6.0";"1.7.6.1";"2019-07-09";"2019-08-26";"48";"587";"49";"11.9796";"12.2292";"12"
"75";"1.7.6.1";"next";"2019-08-26";"2019-11-28";"94";"2337";"106";"22.0472";"24.8617";"0"
