"id";"version1";"version2";"date1";"date2";"vage";"num_commits";"num_users";"commits_per_user";"commits_by_day";"newusers"
"2";"1.0.0";"1.0.1";"2014-04-05";"2014-05-09";"34";"178";"8";"22.2500";"5.2353";"8"
"3";"1.0.1";"1.0.2";"2014-05-09";"2014-07-20";"72";"298";"9";"33.1111";"4.1389";"6"
"4";"1.0.2";"1.0.3";"2014-07-20";"2014-09-29";"71";"183";"11";"16.6364";"2.5775";"5"
"5";"1.0.3";"1.0.4";"2014-09-29";"2014-12-18";"80";"153";"14";"10.9286";"1.9125";"7"
"6";"1.0.4";"1.0.5";"2014-12-18";"2015-01-23";"36";"67";"7";"9.5714";"1.8611";"4"
"7";"1.0.5";"1.1.0";"2015-01-23";"2015-02-07";"15";"20";"3";"6.6667";"1.3333";"0"
"8";"1.1.0";"1.1.1";"2015-02-07";"2015-03-16";"37";"115";"6";"19.1667";"3.1081";"0"
"9";"1.1.1";"1.1.2";"2015-03-16";"2015-06-05";"81";"116";"9";"12.8889";"1.4321";"4"
"10";"1.1.2";"1.1.3";"2015-06-05";"2015-09-10";"97";"142";"11";"12.9091";"1.4639";"6"
"11";"1.1.3";"1.1.4";"2015-09-10";"2015-12-23";"104";"125";"8";"15.6250";"1.2019";"4"
"12";"1.1.4";"1.1.5";"2015-12-23";"2016-04-19";"118";"124";"12";"10.3333";"1.0508";"9"
"13";"1.1.5";"1.2.0";"2016-04-19";"2016-05-21";"32";"58";"6";"9.6667";"1.8125";"4"
"14";"1.2.0";"1.2.1";"2016-05-21";"2016-07-26";"66";"104";"14";"7.4286";"1.5758";"8"
"15";"1.2.1";"1.2.2";"2016-07-26";"2016-09-28";"64";"117";"10";"11.7000";"1.8281";"4"
"16";"1.2.2";"1.2.3";"2016-09-28";"2016-11-28";"61";"119";"13";"9.1538";"1.9508";"7"
"17";"1.2.3";"1.2.4";"2016-11-28";"2017-03-10";"102";"187";"13";"14.3846";"1.8333";"8"
"18";"1.2.4";"1.2.5";"2017-03-10";"2017-04-28";"49";"163";"9";"18.1111";"3.3265";"6"
"19";"1.2.5";"1.3.0";"2017-04-28";"2017-06-26";"59";"84";"6";"14.0000";"1.4237";"3"
"20";"1.3.0";"1.3.1";"2017-06-26";"2017-09-04";"70";"175";"13";"13.4615";"2.5000";"8"
"21";"1.3.1";"1.3.2";"2017-09-04";"2017-10-30";"56";"245";"10";"24.5000";"4.3750";"3"
"22";"1.3.2";"1.3.3";"2017-10-30";"2017-11-08";"9";"56";"8";"7.0000";"6.2222";"3"
"23";"1.3.3";"1.3.4";"2017-11-08";"2018-01-14";"67";"258";"14";"18.4286";"3.8507";"7"
"24";"1.3.4";"1.3.5";"2018-01-14";"2018-03-15";"60";"175";"13";"13.4615";"2.9167";"7"
"25";"1.3.5";"1.3.6";"2018-03-15";"2018-04-11";"27";"54";"3";"18.0000";"2.0000";"0"
"26";"1.3.6";"1.3.7";"2018-04-11";"2018-07-27";"107";"182";"8";"22.7500";"1.7009";"3"
"27";"1.3.7";"1.3.8";"2018-07-27";"2018-10-26";"91";"128";"12";"10.6667";"1.4066";"5"
"28";"1.3.8";"1.3.9";"2018-10-26";"2019-03-31";"156";"233";"18";"12.9444";"1.4936";"9"
"29";"1.3.9";"1.3.10";"2019-03-31";"2019-08-28";"150";"235";"13";"18.0769";"1.5667";"7"
"30";"1.3.10";"1.4.0";"2019-08-28";"2019-11-09";"73";"65";"5";"13.0000";"0.8904";"1"
"31";"1.4.0";"1.4.1";"2019-11-09";"2019-11-22";"13";"80";"4";"20.0000";"6.1538";"0"
"32";"1.4.1";"next";"2019-11-22";"2020-01-01";"40";"67";"4";"16.7500";"1.6750";"0"
