"id";"version1";"version2";"date1";"date2";"vage";"num_commits";"num_users";"commits_per_user";"commits_by_day";"newusers"
"2";"2.0";"2.0.1";"2010-07-21";"2010-08-04";"14";"131";"5";"26.2000";"9.3571";"5"
"4";"2.0.1";"2.0.3";"2010-08-04";"2010-08-11";"7";"45";"3";"15.0000";"6.4286";"0"
"7";"2.0.3";"2.0.6";"2010-08-11";"2010-09-01";"21";"74";"4";"18.5000";"3.5238";"1"
"10";"2.0.6";"2.0.9";"2010-09-01";"2010-09-15";"14";"59";"3";"19.6667";"4.2143";"0"
"11";"2.0.9";"2.0.10";"2010-09-15";"2010-09-30";"15";"105";"7";"15.0000";"7.0000";"2"
"12";"2.0.10";"2.0.11";"2010-09-30";"2010-10-06";"6";"26";"3";"8.6667";"4.3333";"0"
"14";"2.0.11";"2.0.13";"2010-10-06";"2010-10-27";"21";"179";"7";"25.5714";"8.5238";"3"
"15";"2.0.13";"2.0.14";"2010-10-27";"2010-11-09";"13";"139";"4";"34.7500";"10.6923";"0"
"16";"2.0.14";"2.0.15";"2010-11-09";"2010-11-25";"16";"180";"8";"22.5000";"11.2500";"2"
"17";"2.0.15";"2.0.16";"2010-11-25";"2010-12-02";"7";"38";"6";"6.3333";"5.4286";"0"
"20";"2.0.16";"2.0.17.2";"2010-12-02";"2011-01-18";"47";"218";"10";"21.8000";"4.6383";"3"
"21";"2.0.17.2";"2.0.17.3";"2011-01-18";"2011-01-19";"1";"17";"2";"8.5000";"17.0000";"0"
"22";"2.0.17.3";"2.0.17.4";"2011-01-19";"2011-01-25";"6";"34";"4";"8.5000";"5.6667";"0"
"24";"2.0.17.4";"2.0.17.6";"2011-01-25";"2011-01-26";"1";"22";"4";"5.5000";"22.0000";"0"
"26";"2.0.17.6";"2.0.17.8";"2011-01-26";"2011-01-31";"5";"64";"5";"12.8000";"12.8000";"2"
"27";"2.0.17.8";"2.0.17.9";"2011-01-31";"2011-03-22";"50";"372";"6";"62.0000";"7.4400";"2"
"28";"2.0.17.9";"2.0.17.10";"2011-03-22";"2011-05-23";"62";"401";"9";"44.5556";"6.4677";"4"
"29";"2.0.17.10";"2.0.16.1";"2011-05-23";"2011-05-24";"1";"6";"3";"2.0000";"6.0000";"1"
"30";"2.0.16.1";"2.0.18";"2011-05-24";"2011-11-03";"163";"1386";"24";"57.7500";"8.5031";"12"
"31";"2.0.18";"2.0.18.1";"2011-11-03";"2011-11-08";"5";"47";"5";"9.4000";"9.4000";"0"
"32";"2.0.18.1";"2.0.18.3";"2011-11-08";"2012-03-05";"118";"931";"13";"71.6154";"7.8898";"7"
"33";"2.0.18.3";"2.0.18.4";"2012-03-05";"2012-03-26";"21";"179";"6";"29.8333";"8.5238";"0"
"34";"2.0.18.4";"2.0.18.5";"2012-03-26";"2012-04-11";"16";"136";"4";"34.0000";"8.5000";"0"
"35";"2.0.18.5";"2.0.18.6";"2012-04-11";"2013-03-22";"345";"2114";"19";"111.2632";"6.1275";"12"
"37";"2.0.18.6";"2.0.18.8";"2013-03-22";"2013-04-05";"14";"85";"3";"28.3333";"6.0714";"0"
"38";"2.0.18.8";"2.0.18.9";"2013-04-05";"2013-11-26";"235";"718";"14";"51.2857";"3.0553";"9"
"39";"2.0.18.9";"2.0.18.10";"2013-11-26";"2013-12-22";"26";"90";"5";"18.0000";"3.4615";"0"
"40";"2.0.18.10";"2.0.18.11";"2013-12-22";"2014-04-21";"120";"344";"13";"26.4615";"2.8667";"3"
"41";"2.0.18.11";"2.1";"2014-04-21";"2014-04-28";"7";"44";"6";"7.3333";"6.2857";"0"
"42";"2.1";"2.1.1";"2014-04-28";"2014-08-02";"96";"306";"15";"20.4000";"3.1875";"5"
"43";"2.1.1";"2.1.2";"2014-08-02";"2014-09-05";"34";"132";"8";"16.5000";"3.8824";"0"
"44";"2.1.2";"2.1.3";"2014-09-05";"2014-09-09";"4";"11";"5";"2.2000";"2.7500";"1"
"45";"2.1.3";"2.1.6";"2014-09-09";"2014-11-21";"73";"372";"18";"20.6667";"5.0959";"8"
"46";"2.1.6";"2.1.7";"2014-11-21";"2015-01-09";"49";"166";"15";"11.0667";"3.3878";"4"
"47";"2.1.7";"2.1.8";"2015-01-09";"2015-01-15";"6";"40";"5";"8.0000";"6.6667";"0"
"49";"2.1.8";"2.1.8p2";"2015-01-15";"2015-01-16";"1";"16";"4";"4.0000";"16.0000";"0"
"50";"2.1.8p2";"2.1.9";"2015-01-16";"2015-03-18";"61";"438";"20";"21.9000";"7.1803";"6"
"51";"2.1.9";"2.1.10";"2015-03-18";"2015-05-04";"47";"196";"13";"15.0769";"4.1702";"2"
"52";"2.1.10";"2.1.11";"2015-05-04";"2015-06-12";"39";"445";"15";"29.6667";"11.4103";"5"
"53";"2.1.11";"2.1.12";"2015-06-12";"2015-10-15";"125";"685";"20";"34.2500";"5.4800";"8"
"54";"2.1.12";"2.1.12p3";"2015-10-15";"2015-10-21";"6";"11";"6";"1.8333";"1.8333";"0"
"55";"2.1.12p3";"2.1.13p1";"2015-10-21";"2015-11-02";"12";"71";"9";"7.8889";"5.9167";"0"
"56";"2.1.13p1";"2.2";"2015-11-02";"2015-11-11";"9";"77";"12";"6.4167";"8.5556";"1"
"57";"2.2";"2.2.1";"2015-11-11";"2016-05-07";"178";"1287";"35";"36.7714";"7.2303";"12"
"58";"2.2.1";"2.3";"2016-05-07";"2016-11-18";"195";"1742";"29";"60.0690";"8.9333";"5"
"59";"2.3";"2.5";"2016-11-18";"2017-12-23";"400";"2613";"30";"87.1000";"6.5325";"9"
"60";"2.5";"2.5.1";"2017-12-23";"2018-01-25";"33";"249";"10";"24.9000";"7.5455";"0"
"61";"2.5.1";"2.6";"2018-01-25";"2018-05-15";"110";"1463";"22";"66.5000";"13.3000";"5"
"62";"2.6";"2.6.1";"2018-05-15";"2018-08-17";"94";"1401";"25";"56.0400";"14.9043";"9"
"63";"2.6.1";"2.6.3";"2018-08-17";"2018-09-24";"38";"400";"24";"16.6667";"10.5263";"3"
"64";"2.6.3";"2.6.4";"2018-09-24";"2018-10-29";"35";"439";"18";"24.3889";"12.5429";"0"
"65";"2.6.4";"2.8";"2018-10-29";"2019-02-07";"101";"1440";"21";"68.5714";"14.2574";"1"
"66";"2.8";"2.8.1";"2019-02-07";"2019-03-15";"36";"634";"20";"31.7000";"17.6111";"2"
"67";"2.8.1";"2.8.2";"2019-03-15";"2019-04-16";"32";"606";"18";"33.6667";"18.9375";"1"
"68";"2.8.2";"2.8.3";"2019-04-16";"2019-04-23";"7";"60";"6";"10.0000";"8.5714";"0"
"69";"2.8.3";"2.8.4";"2019-04-23";"2019-06-04";"42";"399";"20";"19.9500";"9.5000";"2"
"70";"2.8.4";"3.0";"2019-06-04";"2019-06-10";"6";"38";"8";"4.7500";"6.3333";"0"
"71";"3.0";"3.0.1";"2019-06-10";"2019-06-11";"1";"14";"7";"2.0000";"14.0000";"0"
"72";"3.0.1";"3.0.2";"2019-06-11";"2019-06-20";"9";"223";"15";"14.8667";"24.7778";"1"
"73";"3.0.2";"3.1";"2019-06-20";"2019-07-10";"20";"175";"14";"12.5000";"8.7500";"0"
"74";"3.1";"3.2";"2019-07-10";"2019-08-29";"50";"841";"21";"40.0476";"16.8200";"5"
"75";"3.2";"3.3";"2019-08-29";"2019-10-28";"60";"834";"19";"43.8947";"13.9000";"2"
"76";"3.3";"next";"2019-10-28";"2019-12-23";"56";"1320";"24";"55.0000";"23.5714";"0"
