version,Directories,Files,Lines of Code (LOC),Cyclomatic Complexity / Lines of Code,Comment Lines of Code (CLOC),Non-Comment Lines of Code (NCLOC),Logical Lines of Code (LLOC),LLOC outside functions or classes,Namespaces,Interfaces,Traits,Classes,Abstract Classes,Concrete Classes,Classes Length (LLOC),Methods,Non-Static Methods,Static Methods,Public Methods,Non-Public Methods,Cyclomatic Complexity / Number of Classes,Cyclomatic Complexity / Number of Methods,Functions,Named Functions,Anonymous Functions,Functions Length (LLOC),Average Function Length (LLOC),Average Class Length,Average Method Length,Constants,Global Constants,Class Constants,Attribute Accesses,Non-Static Attribute Accesses,Static Attribute Accesses,Method Calls,Non-Static Method Calls,Static Method Calls,Global Accesses,Global Variable Accesses,Super-Global Variable Accesses,Global Constant Accesses,Test Classes,Test Methods
2005-07-01,"38","109","30675","0.24340101522843","7234","23441","7880","2711","0","0","0","85","0","85","2713","648","648","0","648","0","12.352941176471","2.4891975308642","231","231","0","2456","10.632034632035","31.917647058824","3.9243827160494","93","93","0","1686","1686","0","534","512","22","939","267","161","511","0","0"
2005-07-13,"38","109","30727","0.24174022698613","7233","23494","7930","2765","0","0","0","85","0","85","2711","648","648","0","648","0","12.352941176471","2.4891975308642","231","231","0","2454","10.623376623377","31.894117647059","3.9212962962963","93","93","0","1686","1686","0","534","512","22","939","267","161","511","0","0"
2005-09-19,"45","142","43847","0.27755889009976","9852","33995","11929","3563","0","0","0","103","0","103","5222","853","853","0","853","0","19.844660194175","3.2754982415006","286","286","0","3144","10.993006993007","50.699029126214","5.8499413833529","137","137","0","2490","2490","0","983","933","50","1342","328","190","824","0","0"
2005-09-22,"45","146","44503","0.27650692937051","10048","34455","11978","3606","0","0","0","103","0","103","5225","853","853","0","853","0","19.844660194175","3.2754982415006","286","286","0","3147","11.003496503497","50.728155339806","5.8534583821805","137","137","0","2490","2490","0","983","933","50","1355","330","190","835","0","0"
2006-03-05,"94","211","56371","0.25650851581509","12991","43380","16440","6312","0","0","0","123","0","123","6494","975","975","0","975","0","21.80487804878","3.6246153846154","322","322","0","3634","11.285714285714","52.79674796748","6.374358974359","166","166","0","3114","3114","0","1270","1212","58","1617","388","266","963","0","0"
2006-03-09,"97","214","56792","0.25314785945557","13021","43771","16678","6549","0","0","0","123","0","123","6497","975","975","0","975","0","21.80487804878","3.6246153846154","322","322","0","3632","11.27950310559","52.821138211382","6.3774358974359","166","166","0","3114","3114","0","1270","1212","58","1620","389","266","965","0","0"
2006-11-06,"132","273","74911","0.24985838162883","15476","59435","22949","10168","0","0","0","149","0","149","8405","1229","1229","0","1229","0","25.523489932886","3.9592833876222","371","371","0","4376","11.795148247978","56.409395973154","6.5","184","184","0","4167","4167","0","1621","1555","66","2283","480","340","1463","0","0"
2007-06-26,"180","335","86812","0.23520753606123","17192","69620","27176","13128","1","0","0","170","0","170","9407","1341","1341","0","1341","0","25.223529411765","4.0582089552239","390","390","0","4641","11.9","55.335294117647","6.6246268656716","203","203","0","4566","4566","0","1916","1779","137","2524","522","369","1633","0","0"
2008-05-04,"241","397","97629","0.24845105328377","18735","78894","32280","16232","0","0","0","182","0","182","10799","1510","1510","0","1510","0","31.016483516484","4.6070245195494","438","438","0","5249","11.98401826484","59.335164835165","6.7561298873426","260","260","0","4927","4927","0","2621","2379","242","3357","583","394","2380","0","0"
2008-05-05,"251","407","98068","0.24638214373314","18838","79230","32616","16535","0","0","0","182","0","182","10801","1510","1510","0","1510","0","31.021978021978","4.6076872100729","440","440","0","5280","12","59.346153846154","6.7574552683897","260","260","0","4928","4928","0","2623","2381","242","3359","585","394","2380","0","0"
