version,Directories,Files,Lines of Code (LOC),Cyclomatic Complexity / Lines of Code,Comment Lines of Code (CLOC),Non-Comment Lines of Code (NCLOC),Logical Lines of Code (LLOC),LLOC outside functions or classes,Namespaces,Interfaces,Traits,Classes,Abstract Classes,Concrete Classes,Classes Length (LLOC),Methods,Non-Static Methods,Static Methods,Public Methods,Non-Public Methods,Cyclomatic Complexity / Number of Classes,Cyclomatic Complexity / Number of Methods,Functions,Named Functions,Anonymous Functions,Functions Length (LLOC),Average Function Length (LLOC),Average Class Length,Average Method Length,Constants,Global Constants,Class Constants,Attribute Accesses,Non-Static Attribute Accesses,Static Attribute Accesses,Method Calls,Non-Static Method Calls,Static Method Calls,Global Accesses,Global Variable Accesses,Super-Global Variable Accesses,Global Constant Accesses,Test Classes,Test Methods
10.0.0,"402","1716","763871","0.3559080573135","168556","595315","292008","159811","0","2","0","625","67","558","109707","5059","4926","133","4746","313","58.776714513557","8.2495497298379","885","880","5","22490","25.412429378531","174.97129186603","20.868120872524","853","688","165","171009","170190","819","81205","80506","699","30623","3641","8262","18720","0","0"
10.0.1,"402","1716","764510","0.35628340873469","168670","595840","292214","159887","0","2","0","625","67","558","109826","5061","4928","133","4749","312","58.891547049442","8.2610522104421","885","880","5","22501","25.424858757062","175.16108452951","20.883176635327","853","688","165","171344","170525","819","81284","80584","700","30656","3644","8269","18743","0","0"
10.0.2,"402","1716","765454","0.35655349516323","168903","596551","292447","160040","0","2","0","625","67","558","109869","5064","4931","133","4752","312","58.93620414673","8.2622950819672","884","879","5","22538","25.495475113122","175.22966507177","20.879848060776","853","688","165","171529","170709","820","81319","80618","701","30657","3649","8242","18766","0","0"
10.0.3,"402","1716","766148","0.35673861632469","169032","597116","292612","160152","0","2","0","625","67","558","109910","5065","4932","133","4752","313","59","8.2688386967819","884","879","5","22550","25.509049773756","175.29505582137","20.883070157905","853","688","165","171651","170829","822","81355","80651","704","30656","3649","8247","18760","0","0"
10.0.4,"402","1716","766320","0.35679507986675","169051","597269","292675","160184","0","2","0","625","67","558","109937","5065","4932","133","4752","313","59.020733652313","8.2714371377174","885","880","5","22554","25.484745762712","175.33811802233","20.887467519488","853","688","165","171724","170902","822","81380","80676","704","30664","3649","8244","18771","0","0"
10.0.5,"402","1716","766533","0.35682984893145","169071","597462","292781","160265","0","2","0","625","67","558","109957","5065","4932","133","4752","313","59.031897926635","8.2728362982211","885","880","5","22559","25.490395480226","175.37001594896","20.891465120927","853","688","165","171854","171032","822","81405","80701","704","30656","3649","8234","18773","0","0"
2.0.1,"131","894","189063","0.20452219610012","37323","151740","72310","50076","0","0","0","191","0","191","17236","1316","1316","0","1316","0","19.769633507853","3.7241641337386","325","325","0","4998","15.378461538462","90.240837696335","12.433890577508","40","40","0","28222","28222","0","20717","20713","4","12409","366","5776","6267","0","0"
2.2.0,"127","760","225151","0.26227631144058","46235","178916","84716","50744","0","0","0","174","0","174","28472","1877","1877","0","1877","0","47.850574712644","5.3431006925946","357","357","0","5500","15.406162464986","163.63218390805","14.281299946723","92","92","0","40879","40879","0","26526","26494","32","14800","715","8207","5878","0","0"
2.4.0,"126","783","228689","0.26500124963079","46854","181835","88026","52623","0","0","0","168","0","168","28690","1740","1740","0","1740","0","49.39880952381","5.6729885057471","392","392","0","6713","17.125","170.77380952381","15.500574712644","107","107","0","42489","42489","0","26896","26864","32","16063","784","8938","6341","0","0"
2.4.1,"126","783","228778","0.26494765765152","46867","181911","88074","52641","0","0","0","168","0","168","28720","1740","1740","0","1740","0","49.428571428571","5.6758620689655","392","392","0","6713","17.125","170.95238095238","15.517816091954","107","107","0","42517","42517","0","26909","26877","32","16081","784","8942","6355","0","0"
2.5.0,"123","791","234438","0.26911155303241","47358","187080","90011","54631","0","1","0","156","0","156","28201","1757","1757","0","1756","1","53.324840764331","5.68625213919","411","411","0","7179","17.467153284672","179.62420382166","15.091272104963","124","124","0","43316","43316","0","27063","27031","32","16831","803","9428","6600","0","0"
2.6.0,"124","808","242255","0.27223491307658","49302","192953","93243","56736","0","1","0","158","0","158","28755","1784","1784","0","1775","9","53.754716981132","5.7123595505618","435","435","0","7752","17.820689655172","180.84905660377","15.149438202247","120","119","1","45204","45204","0","27995","27963","32","17683","833","9894","6956","0","0"
2.6.1,"124","808","242273","0.27226613188628","49312","192961","93247","56735","0","1","0","158","0","158","28764","1784","1784","0","1775","9","53.779874213836","5.714606741573","435","435","0","7748","17.811494252874","180.90566037736","15.154494382022","120","119","1","45216","45216","0","27997","27965","32","17701","833","9910","6958","0","0"
