version,Directories,Files,Lines of Code (LOC),Cyclomatic Complexity / Lines of Code,Comment Lines of Code (CLOC),Non-Comment Lines of Code (NCLOC),Logical Lines of Code (LLOC),LLOC outside functions or classes,Namespaces,Interfaces,Traits,Classes,Abstract Classes,Concrete Classes,Classes Length (LLOC),Methods,Non-Static Methods,Static Methods,Public Methods,Non-Public Methods,Cyclomatic Complexity / Number of Classes,Cyclomatic Complexity / Number of Methods,Functions,Named Functions,Anonymous Functions,Functions Length (LLOC),Average Function Length (LLOC),Average Class Length,Average Method Length,Constants,Global Constants,Class Constants,Attribute Accesses,Non-Static Attribute Accesses,Static Attribute Accesses,Method Calls,Non-Static Method Calls,Static Method Calls,Global Accesses,Global Variable Accesses,Super-Global Variable Accesses,Global Constant Accesses,Test Classes,Test Methods
1.0.0,"5","44","3303","0.31269841269841","64","3239","630","62","6","0","0","18","2","16","465","143","142","1","142","1","7.1111111111111","1.7692307692308","37","37","0","103","2.7837837837838","25.833333333333","3.0769230769231","13","0","13","359","356","3","524","522","2","23","0","23","0","0","0"
1.0.1,"6","45","3485","0.31703470031546","65","3420","634","64","6","0","0","18","2","16","464","143","142","1","142","1","7.2222222222222","1.7832167832168","37","37","0","106","2.8648648648649","25.777777777778","3.0699300699301","13","0","13","361","358","3","523","522","1","25","0","25","0","0","0"
1.0.10,"39","254","28913","0.34774130646734","7031","21882","3077","478","10","1","0","95","6","89","2176","647","636","11","598","49","7.7604166666667","2.0047169811321","144","125","19","423","2.9375","22.666666666667","3.2295597484277","140","75","65","1279","1276","3","2611","2552","59","113","0","47","66","0","0"
1.0.11,"44","280","32108","0.33780238997377","7438","24670","3431","523","11","0","0","115","8","107","2525","769","752","17","714","55","7.6","1.9906914893617","120","100","20","383","3.1916666666667","21.95652173913","3.155585106383","153","77","76","1456","1452","4","3868","3824","44","118","0","48","70","0","0"
1.0.12,"48","309","36983","0.33291171262332","8824","28159","3953","578","11","0","0","125","8","117","2841","900","881","19","837","63","7.72","1.9353741496599","142","119","23","534","3.7605633802817","22.728","3.0192743764172","173","94","79","1767","1763","4","4565","4523","42","153","0","49","104","0","0"
1.0.13,"60","361","46048","0.33361611876988","11233","34815","4715","651","11","0","0","152","8","144","3368","1037","1016","21","967","70","7.7368421052632","1.9901864573111","190","164","26","696","3.6631578947368","22.157894736842","3.1128557409225","187","100","87","2082","2078","4","5561","5513","48","158","0","49","109","0","0"
1.0.14,"62","371","47758","0.33603896103896","10606","37152","4928","701","11","0","0","158","8","150","3509","1068","1047","21","998","70","7.9177215189873","2.0248091603053","207","179","28","718","3.4685990338164","22.208860759494","3.155534351145","188","100","88","2172","2168","4","5790","5737","53","163","0","51","112","0","0"
1.0.15,"64","404","51182","0.33152580403889","11969","39213","5348","770","13","0","0","185","8","177","3888","1199","1176","23","1123","76","7.5027027027027","2.0042408821035","205","194","11","690","3.3658536585366","21.016216216216","3.1204410517388","201","103","98","3575","3565","10","6269","6211","58","170","0","53","117","0","0"
1.0.16,"66","418","53130","0.33167082294264","12939","40191","5614","816","13","0","0","193","8","185","4051","1247","1224","23","1164","83","7.5388601036269","2.0097799511002","217","206","11","747","3.4423963133641","20.989637305699","3.1230643846781","223","113","110","3621","3611","10","6431","6374","57","180","0","52","128","0","0"
1.0.17,"73","440","57506","0.34341931216931","14579","42927","6048","919","13","0","0","205","8","197","4358","1322","1299","23","1218","104","7.9268292682927","2.0745580322829","232","218","14","771","3.323275862069","21.258536585366","3.1637202152191","231","118","113","4001","3994","7","6931","6874","57","186","0","59","127","0","0"
1.0.18,"76","451","62294","0.37512038523274","15873","46421","6230","845","13","0","0","213","8","205","4596","1394","1371","23","1283","111","8.037558685446","2.0758017492711","245","230","15","789","3.2204081632653","21.577464788732","3.1632653061224","260","146","114","4435","4428","7","7435","7377","58","205","0","59","146","0","0"
1.0.19,"75","455","63688","0.37236054207375","16336","47352","6346","870","17","4","0","218","10","208","4645","1454","1428","26","1336","118","7.7747747747748","2.0414617006325","252","235","17","831","3.297619047619","20.923423423423","3.0744905130007","278","164","114","4428","4420","8","7424","7362","62","193","0","63","130","0","0"
1.0.2,"6","49","4038","0.35893854748603","89","3949","716","70","6","0","0","18","2","16","525","151","150","1","150","1","8.3888888888889","1.8807947019868","45","45","0","121","2.6888888888889","29.166666666667","3.3112582781457","15","2","13","393","390","3","590","587","3","27","0","25","2","0","0"
1.0.20,"80","468","64422","0.36351017890191","17113","47309","6484","892","20","5","0","226","12","214","4711","1491","1464","27","1365","126","7.4588744588745","2.0110116999312","266","243","23","881","3.312030075188","20.393939393939","3.0268410185822","274","159","115","4450","4442","8","7504","7437","67","190","0","65","125","0","0"
