version,Directories,Files,Lines of Code (LOC),Cyclomatic Complexity / Lines of Code,Comment Lines of Code (CLOC),Non-Comment Lines of Code (NCLOC),Logical Lines of Code (LLOC),LLOC outside functions or classes,Namespaces,Interfaces,Traits,Classes,Abstract Classes,Concrete Classes,Classes Length (LLOC),Methods,Non-Static Methods,Static Methods,Public Methods,Non-Public Methods,Cyclomatic Complexity / Number of Classes,Cyclomatic Complexity / Number of Methods,Functions,Named Functions,Anonymous Functions,Functions Length (LLOC),Average Function Length (LLOC),Average Class Length,Average Method Length,Constants,Global Constants,Class Constants,Attribute Accesses,Non-Static Attribute Accesses,Static Attribute Accesses,Method Calls,Non-Static Method Calls,Static Method Calls,Global Accesses,Global Variable Accesses,Super-Global Variable Accesses,Global Constant Accesses,Test Classes,Test Methods
1.1.0,"3","99","22960","0.31096774193548","527","22433","775","84","0","0","0","2","0","2","266","25","25","0","25","0","57","5.48","57","57","0","425","7.4561403508772","133","10.2","14","14","0","176","176","0","53","52","1","29","29","0","0","0","0"
1.10.0,"14","373","119804","0.33925055284602","27010","92794","33011","3567","10","2","0","418","15","403","25599","4046","3695","351","3861","185","22.204761904762","3.2187344294968","499","499","0","3845","7.7054108216433","60.95","6.2045341305431","356","290","66","9138","9046","92","13633","11310","2323","2821","1270","169","1382","0","0"
1.10.1,"14","373","119872","0.33931598062954","27018","92854","33040","3568","10","2","0","418","15","403","25627","4046","3695","351","3861","185","22.233333333333","3.2217239661186","499","499","0","3845","7.7054108216433","61.016666666667","6.211509715994","356","290","66","9143","9051","92","13637","11315","2322","2823","1272","169","1382","0","0"
1.11.0,"15","406","129953","0.34356935397457","29912","100041","35463","3668","11","2","0","452","17","435","28000","4545","4127","418","4221","324","22.599118942731","3.1757266474373","509","509","0","3795","7.4557956777996","61.674008810573","6.0357222098957","383","289","94","10188","10078","110","15216","12566","2650","2940","1345","175","1420","0","0"
1.11.1,"15","406","129975","0.34357730912372","29924","100051","35468","3672","11","2","0","452","17","435","28001","4545","4127","418","4221","324","22.599118942731","3.1757266474373","509","509","0","3795","7.4557956777996","61.676211453744","6.0359440869758","383","289","94","10188","10078","110","15216","12566","2650","2943","1345","178","1420","0","0"
1.11.2,"15","406","129987","0.34360463477207","29927","100060","35471","3672","11","2","0","452","17","435","28004","4545","4127","418","4221","324","22.603524229075","3.1761704015975","509","509","0","3795","7.4557956777996","61.68281938326","6.0366097182161","383","289","94","10188","10078","110","15220","12570","2650","2943","1345","178","1420","0","0"
1.12.0,"15","443","146917","0.34936900802191","33781","113136","40888","3677","11","5","0","511","17","494","33311","5201","4741","460","4892","309","23.984496124031","3.3073929961089","521","521","0","3900","7.4856046065259","64.556201550388","6.2896887159533","446","279","167","11958","11831","127","17461","14440","3021","3211","1481","179","1551","0","0"
1.13.0,"19","472","165569","0.35528412108338","38139","127430","45192","3853","1","6","0","547","19","528","37598","5845","5287","558","5425","420","25.650994575045","3.3617463617464","519","519","0","3741","7.2080924855491","67.989150090416","6.3251905751906","462","278","184","13368","13208","160","20068","16424","3644","3467","1606","184","1677","0","0"
1.13.1,"19","472","165610","0.35519971690184","38143","127467","45214","3853","1","6","0","547","19","528","37620","5849","5291","558","5429","420","25.658227848101","3.3608033240997","519","519","0","3741","7.2080924855491","68.028933092224","6.3242728531856","462","278","184","13377","13217","160","20084","16440","3644","3468","1606","184","1678","0","0"
1.13.2,"19","472","165706","0.35525007182797","38163","127543","45247","3853","1","6","0","547","19","528","37619","5849","5291","558","5429","420","25.656419529837","3.3606301939058","521","521","0","3775","7.2456813819578","68.02712477396","6.3240997229917","462","278","184","13381","13221","160","20084","16440","3644","3469","1607","184","1678","0","0"
