version,Directories,Files,Lines of Code (LOC),Cyclomatic Complexity / Lines of Code,Comment Lines of Code (CLOC),Non-Comment Lines of Code (NCLOC),Logical Lines of Code (LLOC),LLOC outside functions or classes,Namespaces,Interfaces,Traits,Classes,Abstract Classes,Concrete Classes,Classes Length (LLOC),Methods,Non-Static Methods,Static Methods,Public Methods,Non-Public Methods,Cyclomatic Complexity / Number of Classes,Cyclomatic Complexity / Number of Methods,Functions,Named Functions,Anonymous Functions,Functions Length (LLOC),Average Function Length (LLOC),Average Class Length,Average Method Length,Constants,Global Constants,Class Constants,Attribute Accesses,Non-Static Attribute Accesses,Static Attribute Accesses,Method Calls,Non-Static Method Calls,Static Method Calls,Global Accesses,Global Variable Accesses,Super-Global Variable Accesses,Global Constant Accesses,Test Classes,Test Methods
1.5.5.1,"86","684","85868","0.31402811735941","1709","84159","32720","4384","0","0","0","415","2","413","28004","1601","1601","0","1275","326","25.29156626506","7.2966895690194","27","27","0","332","12.296296296296","67.479518072289","17.336664584635","19","19","0","52892","52892","0","19305","19305","0","389","3","65","321","0","0"
1.5.6.1,"99","826","119827","0.29600465979204","2506","117321","46354","6810","0","0","0","496","2","494","39216","2424","2422","2","2006","418","28.272177419355","6.5804455445545","23","23","0","328","14.260869565217","79.064516129032","16.061881188119","19","19","0","69681","69681","0","27066","27066","0","428","3","67","358","0","0"
1.5.6.2,"95","826","120114","0.2965866264671","2382","117732","46435","6824","0","0","0","496","2","494","39365","2432","2430","2","2012","420","28.429435483871","6.5941611842105","29","29","0","246","8.4827586206897","79.364919354839","16.0703125","19","19","0","69966","69966","0","27211","27211","0","428","3","67","358","0","0"
1.5.6.3,"95","826","120142","0.2966216652671","2386","117756","46443","6824","0","0","0","496","2","494","39372","2432","2430","2","2012","420","28.435483870968","6.5953947368421","29","29","0","247","8.5172413793103","79.379032258065","16.073190789474","19","19","0","69973","69973","0","27214","27214","0","428","3","67","358","0","0"
1.5.6.4,"95","826","120146","0.29659612030917","2386","117760","46447","6824","0","0","0","496","2","494","39376","2432","2430","2","2012","420","28.435483870968","6.5953947368421","29","29","0","247","8.5172413793103","79.387096774194","16.074835526316","19","19","0","69974","69974","0","27215","27215","0","428","3","67","358","0","0"
1.5.6,"114","840","120733","0.29486877343332","2717","118016","46675","6806","0","0","0","506","2","504","39537","2475","2473","2","2049","426","27.816205533597","6.4824242424242","27","27","0","332","12.296296296296","78.136363636364","15.854949494949","19","19","0","69782","69782","0","27341","27341","0","439","3","67","369","0","0"
2.0.0.0,"107","963","139640","0.27825262825351","2722","136918","56977","8335","2","0","0","587","2","585","48393","3042","3040","2","2629","413","27.718909710392","6.1558185404339","30","30","0","249","8.3","82.441226575809","15.808678500986","20","20","0","68823","68823","0","35280","35280","0","430","3","60","367","0","0"
2.0.1.0,"107","966","141860","0.28100875826496","2846","139014","57774","8466","2","0","0","587","2","585","49059","3086","3084","2","2669","417","28.333901192504","6.2033733376581","30","30","0","249","8.3","83.575809199319","15.795004865391","20","20","0","69945","69945","0","35656","35656","0","442","3","60","379","0","0"
2.0.1.1,"107","966","141871","0.28106339893037","2844","139027","57777","8464","2","0","0","587","2","585","49064","3084","3082","2","2667","417","28.340715502555","6.2080493346316","30","30","0","249","8.3","83.584327086882","15.80688088283","20","20","0","69936","69936","0","35654","35654","0","442","3","60","379","0","0"
2.0.2.0,"107","990","150030","0.27753454533618","3130","146900","61441","8944","2","0","0","603","2","601","52246","3290","3288","2","2841","449","28.958540630182","6.1280803163979","30","30","0","251","8.3666666666667","86.643449419569","15.78278065105","20","20","0","73613","73613","0","37835","37835","0","478","3","63","412","0","0"
