version,Directories,Files,Lines of Code (LOC),Cyclomatic Complexity / Lines of Code,Comment Lines of Code (CLOC),Non-Comment Lines of Code (NCLOC),Logical Lines of Code (LLOC),LLOC outside functions or classes,Namespaces,Interfaces,Traits,Classes,Abstract Classes,Concrete Classes,Classes Length (LLOC),Methods,Non-Static Methods,Static Methods,Public Methods,Non-Public Methods,Cyclomatic Complexity / Number of Classes,Cyclomatic Complexity / Number of Methods,Functions,Named Functions,Anonymous Functions,Functions Length (LLOC),Average Function Length (LLOC),Average Class Length,Average Method Length,Constants,Global Constants,Class Constants,Attribute Accesses,Non-Static Attribute Accesses,Static Attribute Accesses,Method Calls,Non-Static Method Calls,Static Method Calls,Global Accesses,Global Variable Accesses,Super-Global Variable Accesses,Global Constant Accesses,Test Classes,Test Methods
2_7_2,"69","775","232256","0.17273549307041","42228","190028","115014","78700","0","0","0","280","0","280","23382","3351","3351","0","3351","0","34.264285714286","3.779468815279","713","713","0","12932","18.13744740533","83.507142857143","6.3831692032229","801","801","0","10589","10589","0","6814","6159","655","4584","1959","813","1812","0","0"
2_8_0,"70","788","236407","0.17303487766788","42339","194068","115260","78835","0","0","0","280","0","280","23463","3361","3361","0","3361","0","34.321428571429","3.7759595358524","713","713","0","12962","18.179523141655","83.796428571429","6.3870871764356","820","820","0","10607","10607","0","6901","6246","655","4628","1975","841","1812","0","0"
2_8_1,"72","798","238088","0.17354499186373","42505","195583","115532","79045","0","0","0","281","0","281","23509","3375","3375","0","3375","0","34.23487544484","3.7671111111111","717","717","0","12978","18.100418410042","83.661921708185","6.373037037037","820","820","0","10619","10619","0","6951","6296","655","4681","1976","893","1812","0","0"
2_8_3,"77","866","259391","0.18430139501629","46109","213282","123081","84243","0","0","0","284","0","284","24486","3515","3515","0","3515","0","34.968309859155","3.7445234708393","802","802","0","14352","17.895261845387","86.218309859155","6.3903271692745","828","828","0","11049","11049","0","7505","6842","663","5920","2413","1686","1821","0","0"
2_9_0,"88","965","290112","0.19977790861461","52525","237587","134179","90563","0","0","0","293","0","293","25560","3662","3662","0","3661","1","35.699658703072","3.7763517203714","1133","1133","0","18056","15.936451897617","87.235494880546","6.4011469142545","883","883","0","11545","11545","0","7908","7240","668","7246","2759","2596","1891","0","0"
3_0_0,"88","983","297646","0.20320427039984","53407","244239","136006","91705","0","0","0","317","0","317","25600","3666","3666","0","3666","0","33.091482649842","3.7749590834697","1175","1175","0","18701","15.915744680851","80.757097791798","6.3974358974359","883","883","0","11571","11571","0","7948","7280","668","7519","2903","2725","1891","0","0"
3_0_1,"88","984","298199","0.20347651262786","53486","244713","136286","91922","0","0","0","317","0","317","25600","3666","3666","0","3666","0","33.091482649842","3.7749590834697","1178","1178","0","18764","15.928692699491","80.757097791798","6.3974358974359","883","883","0","11571","11571","0","7959","7291","668","7535","2906","2738","1891","0","0"
3_1_0,"73","782","244086","0.17880294226312","43704","200382","119092","81748","0","0","0","280","0","280","23695","3369","3369","0","3369","0","34.453571428571","3.7803502523004","747","747","0","13649","18.271753681392","84.625","6.4407836153161","820","820","0","10602","10602","0","6921","6266","655","5387","2309","1286","1792","0","0"
3_2_0,"77","729","180307","0.37623262605686","33842","146465","55471","17064","0","0","0","310","0","310","24484","3582","3582","0","3582","0","32.712903225806","3.7445561139028","826","826","0","13923","16.85593220339","78.98064516129","6.2638190954774","770","770","0","10567","10567","0","7677","7012","665","5979","1880","2439","1660","0","0"
4_0_0,"84","852","214924","0.36474683741025","38934","175990","64346","22745","0","0","0","399","0","399","25734","3952","3943","9","3927","25","26.581453634085","3.5835443037975","972","972","0","15867","16.324074074074","64.496240601504","5.9848101265823","776","773","3","11288","11288","0","8436","7739","697","6809","2174","2944","1691","0","0"
4_1_0,"152","1174","247879","0.35442390982702","46081","201798","74346","27210","0","7","0","618","11","607","29446","4748","4697","51","4687","61","19.0672","3.3939779474131","1155","1155","0","17690","15.316017316017","47.1136","5.7196776929601","945","778","167","12412","12402","10","9879","8847","1032","7660","2525","3438","1697","0","0"
4_1_1,"156","1251","277424","0.36679712278434","52418","225006","83553","28788","0","7","0","693","11","682","35794","5508","5394","114","5447","61","21.371428571429","3.6040182648402","1223","1223","0","18971","15.511856091578","51.134285714286","6.0031050228311","985","818","167","15654","15629","25","11339","10114","1225","8394","2836","3631","1927","0","0"
