version,Directories,Files,Lines of Code (LOC),Cyclomatic Complexity / Lines of Code,Comment Lines of Code (CLOC),Non-Comment Lines of Code (NCLOC),Logical Lines of Code (LLOC),LLOC outside functions or classes,Namespaces,Interfaces,Traits,Classes,Abstract Classes,Concrete Classes,Classes Length (LLOC),Methods,Non-Static Methods,Static Methods,Public Methods,Non-Public Methods,Cyclomatic Complexity / Number of Classes,Cyclomatic Complexity / Number of Methods,Functions,Named Functions,Anonymous Functions,Functions Length (LLOC),Average Function Length (LLOC),Average Class Length,Average Method Length,Constants,Global Constants,Class Constants,Attribute Accesses,Non-Static Attribute Accesses,Static Attribute Accesses,Method Calls,Non-Static Method Calls,Static Method Calls,Global Accesses,Global Variable Accesses,Super-Global Variable Accesses,Global Constant Accesses,Test Classes,Test Methods
2.0.0,"27","172","78717","0.12191641182467","11034","67683","39240","36410","0","0","0","10","0","10","1015","149","149","0","149","0","46.2","4.0335570469799","98","98","0","1815","18.520408163265","101.5","6.3154362416107","155","155","0","798","798","0","1404","1404","0","3412","87","1136","2189","0","0"
2.0.1,"29","179","83125","0.11462160176341","11649","71476","42191","39361","0","0","0","10","0","10","1015","149","149","0","149","0","46.2","4.0335570469799","99","99","0","1815","18.333333333333","101.5","6.3154362416107","155","155","0","803","803","0","1401","1401","0","3433","88","1142","2203","0","0"
2.0.10,"6","97","46501","0.42815750371471","5334","41167","13460","10473","0","0","0","10","0","10","1033","152","152","0","152","0","48.1","4.0986842105263","116","116","0","1954","16.844827586207","103.3","6.3223684210526","167","167","0","821","821","0","1702","1702","0","4693","103","1197","3393","0","0"
2.0.11,"6","99","48086","0.42502518347964","5481","42605","13898","10877","0","0","0","10","0","10","1033","152","152","0","152","0","48.1","4.0986842105263","122","122","0","1988","16.295081967213","103.3","6.3223684210526","169","169","0","821","821","0","1752","1752","0","4860","103","1209","3548","0","0"
2.0.12,"6","90","40224","0.45193061971585","4861","35363","11473","8506","0","0","0","10","0","10","1033","152","152","0","152","0","48.2","4.1052631578947","114","114","0","1934","16.964912280702","103.3","6.3223684210526","160","160","0","821","821","0","1504","1504","0","3653","94","1209","2350","0","0"
2.0.13,"6","90","40224","0.45193061971585","4861","35363","11473","8506","0","0","0","10","0","10","1033","152","152","0","152","0","48.2","4.1052631578947","114","114","0","1934","16.964912280702","103.3","6.3223684210526","160","160","0","821","821","0","1504","1504","0","3653","94","1209","2350","0","0"
2.0.14,"6","89","39826","0.45383328932312","4816","35010","11361","8520","0","0","0","9","0","9","897","136","136","0","136","0","47.777777777778","4.0955882352941","114","114","0","1944","17.052631578947","99.666666666667","6.1176470588235","159","159","0","758","758","0","1510","1510","0","3676","94","1223","2359","0","0"
2.0.15,"6","89","39932","0.45564622269018","4818","35114","11397","8551","0","0","0","9","0","9","896","136","136","0","136","0","47.777777777778","4.0955882352941","114","114","0","1950","17.105263157895","99.555555555556","6.1102941176471","159","159","0","758","758","0","1517","1517","0","3697","94","1228","2375","0","0"
2.0.16,"6","89","39960","0.45589266923886","4819","35141","11404","8558","0","0","0","9","0","9","896","136","136","0","136","0","47.777777777778","4.0955882352941","114","114","0","1950","17.105263157895","99.555555555556","6.1102941176471","159","159","0","758","758","0","1523","1523","0","3703","94","1228","2381","0","0"
2.0.17,"6","89","39992","0.45601892412826","4818","35174","11414","8568","0","0","0","9","0","9","896","136","136","0","136","0","47.777777777778","4.0955882352941","114","114","0","1950","17.105263157895","99.555555555556","6.1102941176471","159","159","0","758","758","0","1523","1523","0","3708","95","1228","2385","0","0"
