version,Directories,Files,Lines of Code (LOC),Cyclomatic Complexity / Lines of Code,Comment Lines of Code (CLOC),Non-Comment Lines of Code (NCLOC),Logical Lines of Code (LLOC),LLOC outside functions or classes,Namespaces,Interfaces,Traits,Classes,Abstract Classes,Concrete Classes,Classes Length (LLOC),Methods,Non-Static Methods,Static Methods,Public Methods,Non-Public Methods,Cyclomatic Complexity / Number of Classes,Cyclomatic Complexity / Number of Methods,Functions,Named Functions,Anonymous Functions,Functions Length (LLOC),Average Function Length (LLOC),Average Class Length,Average Method Length,Constants,Global Constants,Class Constants,Attribute Accesses,Non-Static Attribute Accesses,Static Attribute Accesses,Method Calls,Non-Static Method Calls,Static Method Calls,Global Accesses,Global Variable Accesses,Super-Global Variable Accesses,Global Constant Accesses,Test Classes,Test Methods
3.0.0,"17","294","155087","0.11924738383162","37488","117599","76161","65525","0","0","0","48","1","47","4573","606","563","43","537","69","37.125","3.8661157024793","476","476","0","6063","12.737394957983","95.270833333333","7.0909090909091","82","74","8","2304","2276","28","2036","1793","243","4279","3167","889","223","0","0"
3.0.1.1,"17","294","155121","0.1193142287042","36925","118196","76177","65528","0","0","0","48","1","47","4578","606","563","43","537","69","37.1875","3.8710743801653","477","477","0","6071","12.727463312369","95.375","7.097520661157","82","74","8","2311","2283","28","2037","1793","244","4285","3173","889","223","0","0"
3.0.1,"17","294","155119","0.11931266244848","36925","118194","76178","65529","0","0","0","48","1","47","4578","606","563","43","537","69","37.1875","3.8710743801653","477","477","0","6071","12.727463312369","95.375","7.097520661157","82","74","8","2311","2283","28","2037","1793","244","4285","3173","889","223","0","0"
3.1.0,"21","319","179739","0.09750515696678","56238","123501","97441","85940","0","0","0","52","1","51","4978","652","605","47","575","77","38.134615384615","3.9662058371736","517","517","0","6523","12.617021276596","95.730769230769","7.184331797235","101","93","8","2407","2369","38","2258","1990","268","4418","3279","915","224","0","0"
3.1.1,"21","319","179749","0.097554467740115","55524","124225","97443","85940","0","0","0","52","1","51","4978","652","605","47","575","77","38.134615384615","3.9662058371736","517","517","0","6525","12.620889748549","95.730769230769","7.184331797235","101","93","8","2407","2369","38","2260","1992","268","4426","3286","916","224","0","0"
3.1.2,"21","319","179793","0.09761653140166","54714","125079","97463","85949","0","0","0","52","1","51","4978","652","605","47","575","77","38.134615384615","3.9662058371736","518","518","0","6536","12.617760617761","95.730769230769","7.184331797235","101","93","8","2407","2369","38","2261","1993","268","4421","3285","912","224","0","0"
3.1.3.1,"21","319","179837","0.097751610388545","52963","126874","97492","85972","0","0","0","52","1","51","4981","652","605","47","575","77","38.192307692308","3.9708141321045","518","518","0","6539","12.623552123552","95.788461538462","7.1889400921659","102","94","8","2407","2369","38","2267","1997","270","4428","3290","910","228","0","0"
3.1.3.2,"21","319","179810","0.09773711096978","52955","126855","97486","85972","0","0","0","52","1","51","4981","652","605","47","575","77","38.192307692308","3.9708141321045","517","517","0","6533","12.636363636364","95.788461538462","7.1889400921659","102","94","8","2407","2369","38","2269","1998","271","4425","3289","908","228","0","0"
3.1.3,"21","319","179813","0.097784160853508","52951","126862","97480","85963","0","0","0","52","1","51","4978","652","605","47","575","77","38.192307692308","3.9708141321045","518","518","0","6539","12.623552123552","95.730769230769","7.184331797235","102","94","8","2407","2369","38","2266","1996","270","4430","3290","912","228","0","0"
3.1.4,"21","319","179847","0.097796877884675","52640","127207","97498","85979","0","0","0","52","1","51","4982","653","606","47","576","77","38.211538461538","3.9677914110429","517","517","0","6537","12.644100580271","95.807692307692","7.1794478527607","102","94","8","2407","2369","38","2270","1999","271","4430","3293","909","228","0","0"
3.1.5,"21","319","179841","0.09776209718775","52636","127205","97502","85978","0","0","0","52","1","51","4983","653","606","47","576","77","38.230769230769","3.9693251533742","517","517","0","6541","12.651837524178","95.826923076923","7.180981595092","102","94","8","2407","2369","38","2271","1999","272","4431","3294","909","228","0","0"
3.2.0.1,"21","332","183499","0.09736794226454","53242","130257","98934","87007","0","0","0","63","1","62","5343","737","690","47","658","79","32.349206349206","3.6834239130435","519","519","0","6584","12.685934489403","84.809523809524","6.8288043478261","113","105","8","2553","2514","39","2527","2212","315","4556","3383","927","246","0","0"
3.2.0,"21","332","183499","0.09736794226454","53242","130257","98934","87007","0","0","0","63","1","62","5343","737","690","47","658","79","32.349206349206","3.6834239130435","519","519","0","6584","12.685934489403","84.809523809524","6.8288043478261","113","105","8","2553","2514","39","2527","2212","315","4556","3383","927","246","0","0"
3.2.2.1,"21","334","186585","0.094909726724426","53301","133284","101802","89860","0","0","0","63","1","62","5344","737","690","47","658","79","32.349206349206","3.6834239130435","521","521","0","6598","12.664107485605","84.825396825397","6.8301630434783","113","105","8","2555","2516","39","2527","2212","315","4571","3395","930","246","0","0"
3.2.2,"21","334","186583","0.094911591355599","53301","133282","101800","89858","0","0","0","63","1","62","5344","737","690","47","658","79","32.349206349206","3.6834239130435","521","521","0","6598","12.664107485605","84.825396825397","6.8301630434783","113","105","8","2555","2516","39","2527","2212","315","4571","3395","930","246","0","0"
3.2.3,"21","334","186690","0.095048221405983","53323","133367","101822","89862","0","0","0","63","1","62","5344","737","690","47","658","79","32.349206349206","3.6834239130435","522","522","0","6616","12.674329501916","84.825396825397","6.8301630434783","113","105","8","2558","2519","39","2527","2212","315","4578","3403","930","245","0","0"
3.2.4,"21","334","186734","0.095174973488865","52962","133772","101844","89872","0","0","0","63","1","62","5346","737","690","47","658","79","32.365079365079","3.6847826086957","522","522","0","6626","12.693486590038","84.857142857143","6.8328804347826","113","105","8","2558","2519","39","2527","2212","315","4580","3403","933","244","0","0"
3.2.5,"21","334","186778","0.095287649715296","52966","133812","101860","89881","0","0","0","63","1","62","5346","737","690","47","658","79","32.365079365079","3.6847826086957","522","522","0","6633","12.706896551724","84.857142857143","6.8328804347826","113","105","8","2558","2519","39","2527","2212","315","4586","3409","933","244","0","0"
3.3.0,"46","486","270728","0.12940250490971","86071","184657","130863","100214","0","6","0","188","2","186","22804","2751","2296","455","2385","366","42.29381443299","3.9258582907232","599","599","0","7845","13.096828046745","117.54639175258","7.8162892622352","685","228","457","8227","7565","662","10566","8758","1808","5689","3795","1048","846","0","0"
3.3.1,"46","486","270748","0.12947892070333","86079","184669","130863","100216","0","6","0","188","2","186","22806","2751","2296","455","2385","366","42.29381443299","3.9258582907232","600","600","0","7841","13.068333333333","117.55670103093","7.8170197224251","685","228","457","8229","7565","664","10573","8759","1814","5695","3801","1048","846","0","0"
3.3.10,"47","470","275784","0.13797915681905","84281","191503","133281","100247","0","7","0","174","2","172","25130","2808","2273","535","2350","458","53.254143646409","4.3911796342775","603","603","0","7904","13.107794361526","138.83977900552","8.4636070276085","687","152","535","8891","7967","924","11356","9133","2223","5212","3721","1040","451","0","0"
3.3.2,"46","486","270792","0.12890149671453","86131","184661","131488","100834","0","6","0","188","2","186","22811","2753","2297","456","2387","366","42.329896907216","3.9262773722628","600","600","0","7843","13.071666666667","117.5824742268","7.8127737226277","685","228","457","8223","7559","664","10582","8764","1818","5700","3804","1050","846","0","0"
3.3.3,"46","486","270837","0.12906194151869","86148","184689","131495","100836","0","6","0","188","2","186","22811","2753","2297","456","2387","366","42.360824742268","3.9284671532847","601","601","0","7848","13.058236272879","117.5824742268","7.8127737226277","685","228","457","8223","7559","664","10582","8764","1818","5705","3808","1051","846","0","0"
3.3.4,"46","486","270712","0.12913950109169","83415","187297","131447","100782","0","6","0","188","2","186","22811","2753","2297","456","2387","366","42.360824742268","3.9284671532847","601","601","0","7854","13.068219633943","117.5824742268","7.8127737226277","685","228","457","8223","7559","664","10582","8764","1818","5707","3810","1051","846","0","0"
3.3.5.1,"47","470","274993","0.13712108115421","84765","190228","133043","100234","0","7","0","174","2","172","24940","2784","2251","533","2329","455","52.635359116022","4.3788864786696","602","602","0","7869","13.071428571429","137.79005524862","8.4703543022415","680","151","529","8817","7892","925","11267","9066","2201","5202","3704","1051","447","0","0"
3.3.5,"48","502","278114","0.13672882179291","85584","192530","133805","100413","0","7","0","204","2","202","25528","2954","2417","537","2497","457","45.511848341232","4.1989100817439","602","602","0","7864","13.063122923588","120.98578199052","8.1737057220708","687","158","529","8970","8045","925","11661","9419","2242","5321","3816","1051","454","0","0"
3.3.6,"47","470","275016","0.13714599242379","84758","190258","133048","100236","0","7","0","174","2","172","24940","2784","2251","533","2329","455","52.635359116022","4.3788864786696","602","602","0","7872","13.076411960133","137.79005524862","8.4703543022415","680","151","529","8818","7893","925","11267","9066","2201","5207","3708","1052","447","0","0"
3.3.7,"47","470","275029","0.1371538085754","84372","190657","133055","100238","0","7","0","174","2","172","24940","2784","2251","533","2329","455","52.640883977901","4.3792480115691","602","602","0","7877","13.084717607973","137.79005524862","8.4703543022415","680","151","529","8818","7893","925","11267","9066","2201","5209","3710","1052","447","0","0"
