version,Directories,Files,Lines of Code (LOC),Cyclomatic Complexity / Lines of Code,Comment Lines of Code (CLOC),Non-Comment Lines of Code (NCLOC),Logical Lines of Code (LLOC),LLOC outside functions or classes,Namespaces,Interfaces,Traits,Classes,Abstract Classes,Concrete Classes,Classes Length (LLOC),Methods,Non-Static Methods,Static Methods,Public Methods,Non-Public Methods,Cyclomatic Complexity / Number of Classes,Cyclomatic Complexity / Number of Methods,Functions,Named Functions,Anonymous Functions,Functions Length (LLOC),Average Function Length (LLOC),Average Class Length,Average Method Length,Constants,Global Constants,Class Constants,Attribute Accesses,Non-Static Attribute Accesses,Static Attribute Accesses,Method Calls,Non-Static Method Calls,Static Method Calls,Global Accesses,Global Variable Accesses,Super-Global Variable Accesses,Global Constant Accesses,Test Classes,Test Methods
0.1.0,"1","10","1602","0.31621621621622","541","1061","370","26","0","0","0","4","0","4","344","65","65","0","65","0","27.25","2.6153846153846","0","0","0","0","0","86","5.2615384615385","0","0","0","67","67","0","177","177","0","3","3","0","0","0","0"
0.5.0,"3","27","6274","0.21853065044455","1493","4781","2137","306","0","0","0","8","0","8","793","207","207","0","207","0","20.5","1.7536231884058","57","57","0","1038","18.210526315789","99.125","3.6908212560386","0","0","0","425","425","0","567","567","0","588","123","465","0","0","0"
0.6.0,"3","29","7139","0.22209165687427","1664","5475","2553","357","0","0","0","9","0","9","894","219","219","0","219","0","20.777777777778","1.8127853881279","70","70","0","1302","18.6","99.333333333333","3.8858447488584","0","0","0","521","521","0","616","616","0","738","156","582","0","0","0"
0.6.5,"3","35","8446","0.23026744944553","1973","6473","3066","475","0","0","0","10","0","10","1006","230","230","0","230","0","22.1","1.9173913043478","84","84","0","1585","18.869047619048","100.6","4.1347826086957","0","0","0","672","672","0","743","743","0","844","206","638","0","0","0"
3.0.1,"3","42","12894","0.29289318755257","2887","10007","4756","655","0","0","0","20","0","20","1591","306","306","0","306","0","26.75","2.6830065359477","105","105","0","2510","23.904761904762","79.55","4.8954248366013","5","5","0","1062","1062","0","1382","1374","8","1434","233","1191","10","0","0"
3.2.1,"3","47","15746","0.30991521024399","3350","12396","5779","806","0","0","0","20","0","20","1982","342","342","0","342","0","35.5","3.0175438596491","119","119","0","2991","25.134453781513","99.1","5.5263157894737","5","5","0","1297","1297","0","1726","1717","9","1645","268","1367","10","0","0"
3.3.1,"3","51","16922","0.30980329949239","3538","13384","6304","908","0","0","0","21","0","21","2118","366","366","0","366","0","35.666666666667","2.9890710382514","124","124","0","3278","26.435483870968","100.85714285714","5.5273224043716","5","5","0","1417","1417","0","1897","1887","10","1750","281","1459","10","0","0"
3.4.1,"3","53","19278","0.32","3926","15352","7300","1021","0","0","0","22","0","22","2391","400","400","0","400","0","39.090909090909","3.095","138","138","0","3888","28.173913043478","108.68181818182","5.7275","5","5","0","1616","1616","0","2160","2143","17","2029","310","1709","10","0","0"
3.5.1,"3","54","21811","0.33838643371017","4256","17555","7784","1191","0","0","0","21","0","21","2692","404","404","0","404","0","50.380952380952","3.5668316831683","157","157","0","3901","24.847133757962","128.19047619048","6.4405940594059","5","5","0","1233","1233","0","2271","2254","17","2153","346","1797","10","0","0"
3.5.2,"3","54","21837","0.33820887862458","4261","17576","7794","1196","0","0","0","21","0","21","2697","404","404","0","404","0","50.47619047619","3.5717821782178","157","157","0","3901","24.847133757962","128.42857142857","6.4529702970297","5","5","0","1233","1233","0","2271","2254","17","2153","346","1797","10","0","0"
3.5.3,"3","54","21855","0.33893305975891","4266","17589","7798","1199","0","0","0","21","0","21","2698","404","404","0","404","0","50.52380952381","3.5742574257426","157","157","0","3901","24.847133757962","128.47619047619","6.4554455445545","5","5","0","1233","1233","0","2268","2251","17","2153","346","1797","10","0","0"
3.5.4,"3","54","21875","0.3390112704918","4271","17604","7808","1199","0","0","0","21","0","21","2708","404","404","0","404","0","50.714285714286","3.5841584158416","157","157","0","3901","24.847133757962","128.95238095238","6.480198019802","5","5","0","1233","1233","0","2268","2251","17","2153","346","1797","10","0","0"
3.5.5,"3","54","21918","0.33892016376663","4276","17642","7816","1200","0","0","0","21","0","21","2715","407","407","0","407","0","50.761904761905","3.5675675675676","157","157","0","3901","24.847133757962","129.28571428571","6.4496314496314","5","5","0","1234","1234","0","2270","2253","17","2154","347","1797","10","0","0"
3.5.6,"3","54","21918","0.33892016376663","4276","17642","7816","1200","0","0","0","21","0","21","2715","407","407","0","407","0","50.761904761905","3.5675675675676","157","157","0","3901","24.847133757962","129.28571428571","6.4496314496314","5","5","0","1234","1234","0","2270","2253","17","2154","347","1797","10","0","0"
4.0.1,"3","59","25834","0.32304288273101","4427","21407","9491","1325","0","0","0","21","0","21","3209","461","461","0","461","0","58.238095238095","3.604347826087","215","215","0","4957","23.055813953488","152.80952380952","6.7586956521739","5","5","0","1400","1400","0","2803","2790","13","2571","480","2081","10","0","0"
4.1.1,"10","107","36422","0.27203531739991","6984","29438","13138","1634","0","0","0","62","0","62","5596","764","764","0","764","0","22.983870967742","2.781127129751","250","250","0","5908","23.632","90.258064516129","7.1847968545216","7","7","0","1692","1692","0","5468","5455","13","3557","1034","2513","10","0","0"
4.1.2,"10","107","36383","0.27240116012822","6985","29398","13102","1603","0","0","0","62","0","62","5595","764","764","0","764","0","22.967741935484","2.7798165137615","250","250","0","5904","23.616","90.241935483871","7.1834862385321","7","7","0","1689","1689","0","5468","5455","13","3518","1032","2476","10","0","0"
4.1.3,"10","107","36370","0.27278979139604","6986","29384","13087","1600","0","0","0","62","0","62","5597","764","764","0","764","0","22.983870967742","2.781127129751","250","250","0","5890","23.56","90.274193548387","7.1861074705111","7","7","0","1689","1689","0","5468","5455","13","3502","1016","2476","10","0","0"
4.2.1,"12","130","44394","0.28092469920238","7936","36458","14794","1764","0","0","0","63","0","63","6260","868","868","0","868","0","26.111111111111","2.8200692041522","286","286","0","6770","23.671328671329","99.365079365079","7.083044982699","7","7","0","1967","1967","0","6012","5988","24","3992","1053","2929","10","0","0"
4.2.2,"12","130","44405","0.28094594594595","7938","36467","14800","1764","0","0","0","63","0","63","6264","872","872","0","872","0","26.111111111111","2.8117106773823","286","286","0","6772","23.678321678322","99.428571428571","7.0551090700344","7","7","0","1967","1967","0","6014","5990","24","3993","1053","2930","10","0","0"
4.2.3,"12","130","44417","0.28098615332658","7938","36479","14805","1767","0","0","0","63","0","63","6266","872","872","0","872","0","26.111111111111","2.8117106773823","286","286","0","6772","23.678321678322","99.460317460317","7.0574052812859","7","7","0","1967","1967","0","6014","5990","24","3993","1053","2930","10","0","0"
5.0.0,"4","66","33248","0.31442209875577","5204","28044","12779","1672","0","0","0","20","0","20","4048","491","491","0","482","9","72.95","3.9183673469388","300","300","0","7059","23.53","202.4","8.0795918367347","6","6","0","2019","2019","0","3650","3633","17","3663","574","3079","10","0","0"
