version,Directories,Files,Lines of Code (LOC),Cyclomatic Complexity / Lines of Code,Comment Lines of Code (CLOC),Non-Comment Lines of Code (NCLOC),Logical Lines of Code (LLOC),LLOC outside functions or classes,Namespaces,Interfaces,Traits,Classes,Abstract Classes,Concrete Classes,Classes Length (LLOC),Methods,Non-Static Methods,Static Methods,Public Methods,Non-Public Methods,Cyclomatic Complexity / Number of Classes,Cyclomatic Complexity / Number of Methods,Functions,Named Functions,Anonymous Functions,Functions Length (LLOC),Average Function Length (LLOC),Average Class Length,Average Method Length,Constants,Global Constants,Class Constants,Attribute Accesses,Non-Static Attribute Accesses,Static Attribute Accesses,Method Calls,Non-Static Method Calls,Static Method Calls,Global Accesses,Global Variable Accesses,Super-Global Variable Accesses,Global Constant Accesses,Test Classes,Test Methods
1.5.0.0,"193","1394","231636","0.35009851967867","42925","188711","79172","27437","0","5","0","609","28","581","50198","6033","4905","1128","5062","971","41.652032520325","5.2154779969651","220","220","0","1537","6.9863636363636","81.622764227642","7.8509526218176","1192","1016","176","29652","27852","1800","39080","21714","17366","7521","1331","2499","3691","0","0"
1.5.0.1,"485","2260","306086","0.34194637475533","66758","239328","96559","33290","0","7","0","900","50","850","61205","7548","6207","1341","6325","1223","33.670341786108","4.9913793103448","305","305","0","2064","6.7672131147541","67.480705622933","7.6349676724138","1297","1072","225","41236","39517","1719","48799","26192","22607","7549","781","2716","4052","0","0"
1.5.0.13,"312","1345","215783","0.44523627408914","48766","167017","53603","9280","0","6","0","830","46","784","42790","5796","4536","1260","4974","822","27.090909090909","4.8406409579151","222","222","0","1533","6.9054054054054","51.184210526316","7.0149674238422","1025","867","158","30835","29888","947","35626","17367","18259","4719","124","1565","3030","0","0"
1.5.0.15,"407","1437","221082","0.44201456709443","51370","169712","54781","9762","0","6","0","831","46","785","43464","5855","4576","1279","5020","835","27.543608124253","4.8717323109097","226","226","0","1555","6.8805309734513","51.928315412186","7.0576856047403","1032","866","166","31546","30559","987","36000","17576","18424","4743","119","1570","3054","0","0"
1.5.0.17,"408","1444","223385","0.43876235496347","51600","171785","55848","10365","0","6","0","834","46","788","43860","5895","4613","1282","5057","838","27.784523809524","4.8937348563517","237","237","0","1623","6.8481012658228","52.214285714286","7.0744202146071","1045","879","166","31844","30850","994","36404","17772","18632","4798","120","1579","3099","0","0"
1.5.0.2,"363","1909","231173","0.35206645775439","50804","180369","67652","24774","0","6","0","844","51","793","41139","5721","4466","1255","4869","852","25.765882352941","4.7562455389008","277","277","0","1739","6.2779783393502","48.398823529412","6.8081727337616","1032","892","140","29344","28256","1088","34560","17418","17142","5794","550","1991","3253","0","0"
1.5.0.3,"362","1844","226607","0.34853273813982","49167","177440","66757","24420","0","6","0","843","50","793","40940","5667","4448","1219","4823","844","25.565371024735","4.7489637772572","218","218","0","1397","6.4082568807339","48.221436984688","6.8273562804109","1018","878","140","29259","28228","1031","34040","17281","16759","5485","530","1856","3099","0","0"
1.5.0.5,"333","1378","211147","0.43684989750209","48772","162375","52684","10034","0","6","0","853","49","804","41266","5649","4423","1226","4835","814","25.387660069849","4.7866955892986","222","222","0","1384","6.2342342342342","48.039580908033","6.9327548806941","1014","861","153","29422","28456","966","34497","17339","17158","4671","94","1582","2995","0","0"
1.5.0.9,"330","1368","214962","0.44105040522582","49352","165610","53427","9665","0","6","0","843","48","795","42322","5784","4504","1280","4954","830","26.294464075383","4.7893065113817","227","227","0","1440","6.3436123348018","49.849234393404","6.9447679548262","1036","874","162","30216","29245","971","35136","17279","17857","4722","89","1577","3056","0","0"
1.5.1.0,"484","1529","225986","0.43384888888889","53646","172340","56250","10956","0","6","0","833","46","787","43648","5883","4597","1286","5078","805","27.661501787843","4.8792924037461","240","240","0","1646","6.8583333333333","52.023837902265","7.0539368713146","1034","868","166","31807","30802","1005","36228","17662","18566","4725","120","1576","3029","0","0"
1.5.2.0,"771","1858","237857","0.41759459782071","61886","175971","58643","13255","0","6","0","833","46","787","43731","5889","4601","1288","5083","806","27.749702026222","4.8880803880804","243","243","0","1657","6.8189300411523","52.122765196663","7.0620235620236","1034","868","166","31877","30872","1005","36337","17692","18645","4748","120","1576","3052","0","0"
1.5.3.0,"773","1865","238437","0.41914666576331","61363","177074","59039","13293","0","6","0","833","46","787","44059","5921","4623","1298","5111","810","28.04052443385","4.9086836664369","252","252","0","1687","6.6944444444444","52.513706793802","7.078394210889","1037","871","166","32157","31145","1012","36649","17805","18844","4787","120","1598","3069","0","0"
1.5.3.1,"773","1866","238473","0.41912810785177","61387","177086","59044","13293","0","6","0","833","46","787","44060","5921","4623","1298","5111","810","28.041716328963","4.9088559614059","253","253","0","1691","6.6837944664032","52.514898688915","7.078566505858","1037","871","166","32157","31145","1012","36649","17805","18844","4788","120","1598","3070","0","0"
1.5.4.0,"756","1532","234213","0.4575480262919","61107","173106","55074","8683","0","6","0","523","29","494","44647","5977","4673","1304","5149","828","44.680529300567","4.9430034129693","256","256","0","1744","6.8125","84.398865784499","7.1081911262799","1041","871","170","32629","31618","1011","37223","18087","19136","4817","104","1589","3124","0","0"
1.5.4.1,"755","1533","234629","0.45809316657604","61226","173403","55170","8689","0","6","0","525","30","495","44736","5993","4686","1307","5174","819","44.64406779661","4.9445106382979","256","256","0","1745","6.81640625","84.248587570621","7.1024680851064","1041","870","171","32831","31813","1018","37280","18089","19191","4817","108","1590","3119","0","0"
1.5.5.0,"769","1550","238396","0.46277504806665","61653","176743","56172","8780","0","6","0","526","30","496","45617","6107","4781","1326","5281","826","45.703007518797","4.9714428857715","265","265","0","1775","6.6981132075472","85.746240601504","7.1132264529058","1042","870","172","33535","32488","1047","38285","18553","19732","4939","108","1688","3143","0","0"
1.5.6.0,"785","1569","240185","0.46329024260669","62041","178144","56470","8858","0","6","0","526","30","496","45826","6128","4795","1333","5296","832","46.041353383459","4.9875187219171","266","266","0","1786","6.7142857142857","86.139097744361","7.1223165252122","1044","872","172","33681","32622","1059","38365","18594","19771","4953","105","1694","3154","0","0"
1.5.6.1,"785","1571","241623","0.46519587194608","62109","179514","56976","8866","0","6","0","526","30","496","46311","6152","4812","1340","5318","834","46.640977443609","5.0245317420852","267","267","0","1799","6.7378277153558","87.050751879699","7.1733797447373","1045","873","172","33883","32819","1064","38807","18729","20078","4991","105","1705","3181","0","0"
1.5.6.2,"792","1578","241310","0.46536682783267","62259","179051","57084","8910","0","6","0","526","30","496","46374","6160","4814","1346","5326","834","46.729323308271","5.0269822877007","268","268","0","1800","6.7164179104478","87.169172932331","7.173977818242","1045","873","172","34028","32960","1068","38788","18628","20160","4982","104","1700","3178","0","0"
1.6.0.1,"884","1629","239660","0.4489570953685","58817","180843","58059","10611","0","6","0","499","22","477","45716","6029","4659","1370","5293","736","48.516831683168","5.0552644921413","256","256","0","1732","6.765625","90.526732673267","7.2465776575968","1010","869","141","34390","33173","1217","39641","18697","20944","4831","108","1512","3211","0","0"
1.6.0.10,"503","1081","197609","0.48479963626594","45157","152452","48387","6766","0","6","0","364","22","342","40015","5013","3711","1302","4393","620","59.937837837838","5.44950010202","222","222","0","1606","7.2342342342342","108.14864864865","7.6357886145685","1665","1513","152","30097","28853","1244","32285","14765","17520","3822","86","1142","2594","0","0"
