version,Directories,Files,Lines of Code (LOC),Cyclomatic Complexity / Lines of Code,Comment Lines of Code (CLOC),Non-Comment Lines of Code (NCLOC),Logical Lines of Code (LLOC),LLOC outside functions or classes,Namespaces,Interfaces,Traits,Classes,Abstract Classes,Concrete Classes,Classes Length (LLOC),Methods,Non-Static Methods,Static Methods,Public Methods,Non-Public Methods,Cyclomatic Complexity / Number of Classes,Cyclomatic Complexity / Number of Methods,Functions,Named Functions,Anonymous Functions,Functions Length (LLOC),Average Function Length (LLOC),Average Class Length,Average Method Length,Constants,Global Constants,Class Constants,Attribute Accesses,Non-Static Attribute Accesses,Static Attribute Accesses,Method Calls,Non-Static Method Calls,Static Method Calls,Global Accesses,Global Variable Accesses,Super-Global Variable Accesses,Global Constant Accesses,Test Classes,Test Methods
1.0.0,"49","174","81357","0.50614868641699","25597","55760","17890","833","0","0","0","189","8","181","16893","2108","1925","183","1732","376","47.386243386243","5.3465542885473","101","101","0","164","1.6237623762376","89.380952380952","7.8249876053545","209","58","151","8202","8107","95","6879","5441","1438","575","43","203","329","0","0"
1.0.1,"49","174","81395","0.50642171096717","25564","55831","17908","839","0","0","0","189","8","181","16905","2106","1923","183","1728","378","47.455026455026","5.3573200992556","101","101","0","164","1.6237623762376","89.444444444444","7.8387096774194","209","58","151","8219","8124","95","6892","5455","1437","578","42","207","329","0","0"
1.0.2,"49","174","81470","0.5063834531973","25579","55891","17937","839","0","0","0","189","8","181","16934","2106","1923","183","1728","378","47.529100529101","5.3642679900744","101","101","0","164","1.6237623762376","89.597883597884","7.8521091811414","210","58","152","8225","8130","95","6896","5456","1440","577","42","206","329","0","0"
1.0.3,"49","174","81637","0.50717463848721","25604","56033","17980","844","0","0","0","189","8","181","16972","2108","1924","184","1729","379","47.719576719577","5.3777887952405","101","101","0","164","1.6237623762376","89.798941798942","7.863163113535","210","58","152","8254","8159","95","6908","5466","1442","578","42","207","329","0","0"
1.0.4,"49","174","81669","0.50753070638582","25605","56064","17993","844","0","0","0","189","8","181","16985","2108","1924","184","1729","379","47.783068783069","5.3837382250868","101","101","0","164","1.6237623762376","89.867724867725","7.8696083292018","210","58","152","8255","8160","95","6915","5470","1445","577","42","206","329","0","0"
1.0.5,"49","174","81687","0.50758375465304","25606","56081","17999","844","0","0","0","189","8","181","16991","2108","1924","184","1729","379","47.804232804233","5.3857213683689","101","101","0","164","1.6237623762376","89.899470899471","7.8725830441249","210","58","152","8253","8158","95","6915","5470","1445","577","42","206","329","0","0"
1.1.0,"43","147","63616","0.52142352412154","17086","46530","15567","785","0","0","0","153","7","146","14528","1768","1593","175","1439","329","52.222222222222","5.6628810520024","115","111","4","254","2.2086956521739","94.954248366013","8.1046025104603","148","30","118","7451","7355","96","6300","5010","1290","482","12","212","258","0","0"
1.1.1,"43","147","63870","0.52103849597135","17125","46745","15638","790","0","0","0","153","7","146","14594","1770","1594","176","1440","330","52.424836601307","5.6758208955224","115","111","4","254","2.2086956521739","95.385620915033","8.1331343283582","148","30","118","7506","7410","96","6301","5031","1270","482","12","212","258","0","0"
1.1.2,"43","147","64107","0.52166156982671","17185","46922","15696","791","0","0","0","153","7","146","14651","1777","1598","179","1445","332","52.686274509804","5.6609161213563","116","111","5","254","2.1896551724138","95.758169934641","8.1094586555622","148","30","118","7542","7448","94","6334","5051","1283","484","12","212","260","0","0"
1.1.3,"43","148","64534","0.5224665694911","17321","47213","15779","791","0","0","0","154","7","147","14733","1786","1607","179","1447","339","52.694805194805","5.6865759905381","115","111","4","255","2.2173913043478","95.668831168831","8.1383796570077","148","30","118","7582","7488","94","6353","5066","1287","485","12","212","261","0","0"
1.1.4,"43","148","64549","0.52271719155947","17324","47225","15781","792","0","0","0","154","7","147","14734","1785","1606","179","1446","339","52.720779220779","5.6917159763314","115","111","4","255","2.2173913043478","95.675324675325","8.1437869822485","150","30","120","7569","7475","94","6350","5062","1288","484","12","211","261","0","0"
1.1.5,"43","148","64765","0.52287664307381","17359","47406","15824","793","0","0","0","154","7","147","14776","1790","1611","179","1447","343","52.883116883117","5.6920353982301","115","111","4","255","2.2173913043478","95.948051948052","8.1421828908555","150","30","120","7592","7498","94","6364","5075","1289","484","12","211","261","0","0"
1.2.0,"44","157","68368","0.51937017231135","18447","49921","16830","814","0","0","0","163","8","155","15683","1871","1680","191","1494","377","52.79754601227","5.7426470588235","111","106","5","333","3","96.21472392638","8.2850678733032","165","30","135","8078","7979","99","6942","5479","1463","499","12","226","261","0","0"
1.2.1,"44","157","68470","0.51987894611915","18433","50037","16852","814","0","0","0","163","8","155","15705","1873","1682","191","1496","377","52.926380368098","5.7491525423729","111","106","5","333","3","96.349693251534","8.2881355932203","165","30","135","8094","7995","99","6955","5491","1464","499","12","226","261","0","0"
1.2.2,"44","157","68681","0.52107007575758","18485","50196","16896","814","0","0","0","163","8","155","15749","1879","1687","192","1500","379","53.19018404908","5.7573198198198","111","106","5","333","3","96.61963190184","8.2849099099099","165","30","135","8132","8033","99","6969","5504","1465","499","12","226","261","0","0"
1.2.3,"44","157","68754","0.52060057929893","18494","50260","16917","816","0","0","0","163","8","155","15768","1882","1689","193","1502","380","53.208588957055","5.7509836987071","111","106","5","333","3","96.736196319018","8.2793704328274","169","30","139","8125","8026","99","6981","5510","1471","500","12","226","262","0","0"
1.2.4,"44","157","68765","0.52056737588652","18496","50269","16920","816","0","0","0","163","8","155","15771","1882","1689","193","1502","380","53.21472392638","5.7515458122541","111","106","5","333","3","96.754601226994","8.2810567734682","169","30","139","8125","8026","99","6983","5511","1472","500","12","226","262","0","0"
1.2.5,"44","157","68778","0.52056251477192","18498","50280","16924","816","0","0","0","163","8","155","15775","1882","1689","193","1502","380","53.226993865031","5.7526700393479","111","106","5","333","3","96.779141104294","8.283305227656","169","30","139","8124","8025","99","6983","5511","1472","500","12","226","262","0","0"
1.3.0,"43","158","69974","0.52205371613799","18795","51179","17276","794","0","0","0","163","8","155","16302","1912","1717","195","1519","393","54.527607361963","5.7857142857143","36","29","7","180","5","100.01226993865","8.3848283499446","172","27","145","8313","8211","102","7169","5672","1497","494","12","231","251","0","0"
1.3.1,"43","158","70162","0.52165127020785","18902","51260","17320","794","0","0","0","163","8","155","16346","1913","1718","195","1519","394","54.625766871166","5.7919203099059","36","29","7","180","5","100.28220858896","8.387935805202","201","27","174","8321","8218","103","7179","5679","1500","494","12","231","251","0","0"
1.3.10,"43","158","70514","0.52272596678734","19007","51507","17403","786","0","0","0","163","8","155","16437","1915","1720","195","1520","395","55.018404907975","5.7996679579413","38","29","9","180","4.7368421052632","100.84049079755","8.3785279468733","200","25","175","8349","8246","103","7201","5693","1508","487","12","228","247","0","0"
1.3.2,"43","158","70193","0.52189970569565","18910","51283","17329","794","0","0","0","163","8","155","16355","1913","1718","195","1519","394","54.680981595092","5.7969009407858","36","29","7","180","5","100.33742331288","8.3929164360819","201","27","174","8330","8227","103","7180","5679","1501","494","12","231","251","0","0"
1.3.3,"43","158","70243","0.5219723183391","18922","51321","17340","794","0","0","0","163","8","155","16366","1914","1719","195","1519","395","54.723926380368","5.7981194690265","36","29","7","180","5","100.40490797546","8.3943584070796","201","27","174","8331","8228","103","7187","5684","1503","493","12","229","252","0","0"
1.3.4,"43","158","70297","0.52210756903211","18930","51367","17347","786","0","0","0","163","8","155","16381","1914","1719","195","1519","395","54.773006134969","5.8025442477876","36","29","7","180","5","100.49693251534","8.4026548672566","199","25","174","8336","8233","103","7189","5685","1504","488","12","229","247","0","0"
1.3.5,"43","158","70314","0.52216010604576","18936","51378","17351","786","0","0","0","163","8","155","16385","1914","1719","195","1519","395","54.791411042945","5.804203539823","36","29","7","180","5","100.52147239264","8.4048672566372","199","25","174","8336","8233","103","7190","5685","1505","488","12","229","247","0","0"
1.3.6,"43","158","70365","0.52278357048217","18960","51405","17359","786","0","0","0","163","8","155","16393","1914","1719","195","1519","395","54.883435582822","5.8125","36","29","7","180","5","100.57055214724","8.4087389380531","199","25","174","8341","8238","103","7189","5687","1502","487","12","228","247","0","0"
1.3.7,"43","158","70438","0.52293525179856","18982","51456","17375","786","0","0","0","163","8","155","16409","1916","1721","195","1521","395","54.950920245399","5.8116022099448","36","29","7","180","5","100.66871165644","8.407182320442","200","25","175","8344","8241","103","7196","5691","1505","487","12","228","247","0","0"
1.3.8,"43","158","70454","0.52292997295587","18986","51468","17379","786","0","0","0","163","8","155","16413","1916","1721","195","1521","395","54.963190184049","5.8127071823204","36","29","7","180","5","100.69325153374","8.4093922651934","200","25","175","8339","8236","103","7197","5692","1505","487","12","228","247","0","0"
1.3.9,"43","158","70455","0.52304505437597","18987","51468","17379","786","0","0","0","163","8","155","16413","1916","1721","195","1521","395","54.975460122699","5.8138121546961","36","29","7","180","5","100.69325153374","8.4093922651934","200","25","175","8338","8235","103","7197","5692","1505","487","12","228","247","0","0"
1.4.0,"48","177","77847","0.52914446881855","20782","57065","19146","780","0","0","0","184","8","176","18184","2074","1857","217","1621","453","54.516304347826","5.9","46","28","18","182","3.9565217391304","98.826086956522","8.4367346938776","233","28","205","9424","9259","165","8141","6344","1797","542","11","259","272","0","0"
1.4.1,"48","177","77918","0.52928280613843","20800","57118","19158","780","0","0","0","184","8","176","18196","2076","1857","219","1623","453","54.559782608696","5.9000509943906","47","28","19","182","3.8723404255319","98.891304347826","8.4339622641509","233","28","205","9426","9260","166","8150","6344","1806","542","11","259","272","0","0"
