version,Directories,Files,Lines of Code (LOC),Cyclomatic Complexity / Lines of Code,Comment Lines of Code (CLOC),Non-Comment Lines of Code (NCLOC),Logical Lines of Code (LLOC),LLOC outside functions or classes,Namespaces,Interfaces,Traits,Classes,Abstract Classes,Concrete Classes,Classes Length (LLOC),Methods,Non-Static Methods,Static Methods,Public Methods,Non-Public Methods,Cyclomatic Complexity / Number of Classes,Cyclomatic Complexity / Number of Methods,Functions,Named Functions,Anonymous Functions,Functions Length (LLOC),Average Function Length (LLOC),Average Class Length,Average Method Length,Constants,Global Constants,Class Constants,Attribute Accesses,Non-Static Attribute Accesses,Static Attribute Accesses,Method Calls,Non-Static Method Calls,Static Method Calls,Global Accesses,Global Variable Accesses,Super-Global Variable Accesses,Global Constant Accesses,Test Classes,Test Methods
2.0.1,"72","333","53316","0.43498832881206","13697","39619","15851","2614","0","5","0","167","8","159","11914","1544","1377","167","1367","177","29.883720930233","4.2944297082228","130","130","0","1323","10.176923076923","69.267441860465","7.4933687002653","188","75","113","7101","6913","188","7793","6571","1222","1098","21","229","848","0","0"
2.0.10,"73","344","55620","0.43388504363527","14103","41517","16615","2693","0","5","0","172","8","164","12510","1620","1439","181","1439","181","30.401129943503","4.2874289324068","140","140","0","1412","10.085714285714","70.677966101695","7.4965255843335","206","78","128","7250","7061","189","8120","6828","1292","1084","21","233","830","0","0"
2.0.11,"74","347","56039","0.43320997970634","14196","41843","16754","2720","0","5","0","173","8","165","12613","1630","1448","182","1448","182","30.426966292135","4.2881355932203","143","143","0","1421","9.9370629370629","70.859550561798","7.5134965473949","206","78","128","7261","7071","190","8161","6863","1298","1088","21","233","834","0","0"
2.0.13,"78","358","57177","0.43703095684803","14398","42779","17056","2800","0","5","0","179","8","171","12779","1683","1493","190","1496","187","30.20652173913","4.2648845686513","153","153","0","1477","9.6535947712418","69.451086956522","7.3718104495747","209","79","130","7254","7064","190","8208","6874","1334","1118","22","246","850","0","0"
2.0.14,"89","374","61468","0.43530196122007","16150","45318","17999","2925","0","5","0","186","8","178","13529","1768","1575","193","1564","204","30.743455497382","4.2819179664934","159","159","0","1545","9.7169811320755","70.832460732984","7.4355863662623","209","79","130","7638","7436","202","8675","7290","1385","1160","22","272","866","0","0"
2.0.15,"90","375","62048","0.43481127410582","16241","45807","18201","2942","0","5","0","187","8","179","13701","1791","1598","193","1583","208","30.90625","4.2736602052452","160","160","0","1558","9.7375","71.359375","7.4372862029647","210","79","131","7715","7513","202","8777","7372","1405","1173","22","274","877","0","0"
2.0.16.1,"90","375","62053","0.43485664066791","16240","45813","18206","2942","0","5","0","187","8","179","13706","1791","1598","193","1583","208","30.921875","4.2753705815279","160","160","0","1558","9.7375","71.385416666667","7.4401368301026","210","79","131","7720","7518","202","8781","7375","1406","1173","22","274","877","0","0"
2.0.16,"90","375","62050","0.43495220305461","16241","45809","18202","2942","0","5","0","187","8","179","13702","1791","1598","193","1583","208","30.921875","4.2753705815279","160","160","0","1558","9.7375","71.364583333333","7.4378563283922","210","79","131","7720","7518","202","8778","7372","1406","1173","22","274","877","0","0"
2.0.17.10,"92","395","66516","0.43044164841322","17508","49008","19631","3225","0","5","0","189","8","181","14488","1862","1659","203","1641","221","32.329896907216","4.3304109589041","196","196","0","1918","9.7857142857143","74.680412371134","7.5720547945205","220","86","134","8237","8024","213","9364","7865","1499","1274","23","297","954","0","0"
2.0.17.2,"92","392","65467","0.43008376586669","16943","48524","19459","3178","0","5","0","189","8","181","14381","1845","1646","199","1626","219","32.041237113402","4.3307522123894","192","192","0","1900","9.8958333333333","74.128865979381","7.5884955752212","218","85","133","8176","7963","213","9278","7794","1484","1267","23","297","947","0","0"
